&	e
&c	etc
&c.	etc.
~q	que
1hes	lhes
á	à
à	há
a pezar	apesar
abobada	abóbada
abobora	abóbora
abrazado	abrasado
abrigallo	abrigá-lo
abster-se-haõ	abster-se-ão
abstinencia	abstinência
abundancia	abundância
acabaõ	acabam
acçaõ	ação
accelerado	acelerado
accidental	acidental
accidente	acidente
accidentes	acidentes
accumalaçaõ	acumulação
accumulaçaõ	acumulação
accumulações	acumulações
accumulaõ	acumula
acezas	acesas
achaõ	acham
achar-se-haõ	achar-se-ão
achem	acém
acometamento	acometimento
acomettimento	acometimento
acompanhaõ	acompanham
açoute	açoite
actuar	atuar
acudirlhe	acudir-lhe
admiraçaõ	admiração
admiravel	admirável
adquiraõ	adquiram
advertencia	advertência
advertencias	advertências
ae	se
affastar	afastar
affeiçoados	afeiçoados
affligir	afligir
afflija	aflija
affogado	afogado
agoa	água
agoas	águas
agua	água
aguas	águas
ahi	aí
aindaque	 ainda que
airda	ainda
aja	haja
ajuntaraõ	ajuntarão
àlem	além
alexiterios	alexetérios
alg	alguma
alguem	alguém
algunas	algumas
aliviallo	aliviá-lo
alivio	alívio
alli	ali
allivia	alivia
alliviados	aliviados
alliviaõ	alivia
alliviar	aliviar
almiscar	almíscar
amarellada	amarelada
amarellas	amarelas
amarello	amarelo
ambar	âmbar
ambito	âmbito
amendoas	amêndoas
amollecer	amolecer
amollecido	amolecido
ancias	ânsias
anciedade	ansiedade
angelica	angélica
angustia	angústia
animaes	animais
animass	animais
anno	ano
annos	anos
annuncia	anuncia
annunciadas	anunciadas
annunciaõ	anunciam
anticipadamente	antecipadamente
aplicaõ	aplicam
aportaõ	aportam
apparecer	aparecer
apparecèraõ	apareceram
appetite	apetite
applicaçaõ	aplicação
applicações	aplicações
applicados	aplicados
applicando-os	aplicando-os
applicaõ	aplicam
applicar	aplicar
applicará	aplicará
applicaraõ	aplicaram
applicar-se	aplicar-se
applicar-se-ha	aplicar-se-á
applicar-se-haõ	aplicar-se-ão
appliquem	apliquem
appliquemse	apliquem-se
appropriadas	apropriadas
approvados	aprovados
aprendaõ	aprendam
aproveitaõ	aproveitam
aproveitar-nos-hemos	aproveitar-nos-emos
aproveitar-se-ha	aproveitar-se-á
aquella	aquela
aquellas	aquelas
aquelle	aquele
aquelles	aqueles
àquelles	àqueles
aquillo	aquilo
ár	ar
ardencia	ardência
ardentissima	ardentíssima
ardentissimas	ardentíssimas
arida	árida
armenio	armênio
arrependaõ	arrependam
arriscaõ	arriscam
arrôz	arroz
artentissima	ardentíssima
artificio	artifício
ás	às
asmatico	asmático
aspera	áspera
assás	assaz
assestaõ	assestam
assignaladas	assinaladas
assima	acima
assimilhaõ	assimilam
assimilhar-se	assimilar-se
assistiaõ	assistiam
assucar	açúcar
asthma	asma
atacaõ	atacam
ataco	atacado
atè	até
atea	ateia
attençaõ	atenção
attenda	atenda
attendendo	atendendo
attender	atender
attenderem	atenderem
attender-se-ha	atender-se-á
attrahe	atrai
attrahem	atraem
attrahir	atrair
attralido	úmido
attribuo	atribuo
augmenta	aumenta
augmentando	aumentando
augmentaõ	aumentam
augmentar	aumentar
augmentará	aumentará
augmentarem	aumentarem
augmenta-se	aumenta-se
augmentava	aumentava
augmente	aumente
augmento	aumento
ausencia	ausência
author	autor
authores	autores
auxilios	auxílios
avea	aveia
aver	haver
averá	haverá
avexaõ	avexam
avia	havia
aviaõ	haviam
avizinha-las	avizinhá-las
balaustias	balaústias
basilicaõ	basilicão
bastaõ	bastam
bastaõ	bastão
bastariaõ	bastariam
beberaõ	beberão
beberáõ	beberão
bebéraõ	beberão
benedicta	benedita
bezoartico	bezoártico
bezoarticos	bezoárticos
bocca	boca
boticario	boticário
boy	boi
brazas	brasas
brazeiro	braseiro
bronquios	brônquios
cabelludo	cabeludo
cadaveres	cadáveres
cadaverico	cadavérico
cahem	caem
cahio	caiu
calôr	calor
camaras	câmaras
camiza	camisa
canellos	canelos
cantharidas	cantáridas
cantharidas	cantarias
capitulo	capítulo
caracter	caráter
caracterezaõ	caracteriza
caracteristico	característico
caracterizaõ	caracterizam
cardiaca	cardíaca
carvaõ	carvão
catarrho	catarro
causaõ	causam
cerebro	cérebro
cezaõ	sezão
cezões	sezões
chamaõ	chamam
chamaraõ	chamarão
chamaraõ	chamaram
chapeo	chapéu
chapeos	chapéus
chegaõ	chegam
chega-se	cega-se
chega-se-lhe	cega-se-lhe
chêo	cheio
cheyo	cheio
cheyos	cheios
chicara	xícara
chicaras	xícaras
cicero	cícero
circulaõ	circulam
circumscriptas	circunscritas
circunstancias	circunstâncias
cirurgiaõ	cirurgião
codea	côdea
colchaõ	colchão
colericos	coléricos
colica	cólica
colicas	cólicas
collecçaõ	coleção
com tudo	contudo
começaõ	começam
comeo	comeu
commettaõ	cometam
cómmoda	cômoda
commua	comum
commua	comua
commuas	comuas
commum	comum
commummente	comumente
compaixaõ	compaixão
compleiçaõ	compleição
composiçaõ	composição
comprehender	compreender
comsigo	consigo
comtudo	contudo
cõmum	comum
concorriaõ	concorriam
condemnassem	condenassem
condiçaõ	condição
confequencias	consequências
confirmaçaõ	confirmação
conflicto	conflito
congorça	congorsa
conseguio	conseguiu
consequencia	consequência
consequencias	consequências
conservaõ	conservam
conservar-se-haõ	conservar-se-ão
consideraçaõ	consideração
consolaçaõ	consolação
constituiçaõ	constituição
continua	contínua
continúa	continua
continuaçaõ	continuação
