source	gold	translation	BLEU score
CAPITULO V .	CAPÍTULO V.	ABOUT V.	55.03212081491043
Do Catarrho .	Do Catarro.	Do Catastrophe.	34.66806371753173
Ainda que o catarrho naõ seja ordinariamente huma doença perigosa , com tudo naõ he menos verdade , que quando elle he desprezado, póde chegar a fazer-se tal ; en tenho conhecido Marinheiros , que morreraõ de tysica , em consequencia de hum catarrho desprezado .	Ainda que o catarro não seja ordinariamente uma doença perigosa, com tudo não é menos verdade, que quando ele é desprezado, pode chegar a fazer-se tal; eu tenho conhecido Marinheiros, que morreram de tísica, em consequência de um catarro desprezado.	Ainda que o sarampão seja normalmente uma perigosa doença, com tudo o sarampão, I'm menos verdade, que quando o sarampão é despreçado, pode chegar a fazê-lo; que eu conheço Marines, que eu morreria de milhar, como resultado de um sarampão despreçado.	19.864009281866682
Ordinariamente julga-se , que naõ he precizo fazer remedio algum para curar o catarrho , e que quanto mais remedios se lhe fazem , mais elle dura , mas isto he hum erro popular ; porque o catarrho he huma doença , que se trata como as outras , e que se cura com remedios apropriados á natureza do mal.	Ordinariamente julga-se, que não é preciso fazer remédio algum para curar o catarro, e que quanto mais remédios se lhe fazem, mais ele dura, mas isto é um erro popular; porque o catarro é uma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	Normalmente, se diz que eu preciso de fazer algum remedio para curar o sarampo, e que o mais remedio se faz, o mais dura, mas isto é um erro popular; porque o sarampo é uma doença, que se trata como as outras, e que se cura com medicamentos adaptados à natureza do mal.	53.14154096356146
Os que os desprezaõ , ou que fazem outros contrarios , aprendem à sua custa , o quaõ caro lhe sahe o terem-se conduzido mal .	Os que os desprezam, ou que fazem outros contrários, aprendem à sua custa, o quão caro lhe sai o terem-se conduzido mal.	Os que os desprezam, ou os que os contraem, aprendem a caro, a caro que eles aprendem a mal conduzido.	23.068994361104984
Ha entre os Marinheiros a respeito do catarrho huma preoccupaçaõ perigosa , que tem custado a vida a muitos delles ; julgaõ , que a sangria he contraria ao defluxos ; de forte que succede todos os dias , que hum Marinheiro atacado de hum defluxo de peito , de hum pleuriz , naõ se quer deixar sangrar , quando se lhe propõe , com o pretexto de que tem tosse , e que a sua doença naõ he senaõ hum defuxo ; eu tenho conhecido muitas victimas de similhante preoccupaçaõ ; eu concordaria com elles , que a sangria naõ he necessaria para curar hum simples defluxo , e que quando esta doença he benigna , ella se cura ordinariamente sem o soccorro da sangria; mas he falso , que a sangria seja contraria á cura do defluxo ; eu accrescento mesmo , que ella he muito necessaria em certas especies , principalmente quando a febre , a inflammaçaõ do peito , e a oppressaõ saõ fortes , quando a expectoraçaõ , ou sahida dos escarros se faz com dificuldade ; porque se se desprezar a sangria em taes circunstancias , faz-se a doença muitas vezes mais seria , e grave , muda de natureza ; e mata os doentes , o que succede muitissimas vezes ; o menor mal , que dahi se poderia seguir he , que hum tal catarrho , que se teria curado no espaço de sete para oito dias com huma , ou duas sangrias feitas quando era conveniente , dura muitas semanas sem contar os riscos , em que incorrem os doentes ; e com effeito ninguem ignora , que o defluxo seja huma accumulaçaõ inflammatoria das partes , aonde elle tem o seu assento : ora todos os Professores da Arte sabem , que a sangria he o unico , o mais seguro , e o mais prompto remedio para curar todas as especies de infammações ; logo póde-se , e deve-se mesmo sangrar no defluxo , quando a febre fôr violenta , quando esta durar mais de vinte e quatro horas , quando a tosse fôr forte , a pretas violenta , e quando o pulfo fôr cheio , e duro .	Há entre os Marinheiros a respeito do catarro uma preocupação perigosa, que tem custado a vida a muitos deles; julgam, que a sangria é contraria ao defluxos; de forte que sucede todos os dias, que um Marinheiro atacado de um defluxo de peito, de um pleuris, não se quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que a sua doença não é senão um defluxo; eu tenho conhecido muitas vítimas de semelhante preocupação; eu concordaria com eles, que a sangria não é necessária para curar um simples defluxo, e que quando esta doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas é falso, que a sangria seja contraria à cura do defluxo; eu acrescento mesmo, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos escarros se faz com dificuldade; porque se se desprezar a sangria em tais circunstancias, faz-se a doença muitas vezes mais séria, e grave, muda de natureza; e mata os doentes, o que sucede muitíssimas vezes; o menor mal, que daí se poderia seguir é, que um tal catarro, que se teria curado no espaço de sete para oito dias com uma, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja uma acumulação inflamatória das partes, aonde ele tem o seu assento: ora todos os Professores da Arte sabem, que a sangria é o único, o mais seguro, e o mais pronto remédio para curar todas as espécies de inflamações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando esta durar mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pulso for cheio, e duro.	Há entre os marinheiros sobre o sarampo perigoso, que tem costado a vida a muitas das das; julga, que a sanguí contra os defluxos; de forte que acontece todos os dias, que um marinheiro atacado por um defluxo de peito, de um pleuriz, ou se quer deixar de sanguí, quando se lhe propõe, a pretexto de que tem tosse, e que a sua doença naõ he senaõ hum defluxo; eu conheço muitas vítimas de sarampo perigoso; eu concorda, que a sanguí é necessária para curar um simples defluxo, e que quando esta doença é benigna, ela se cura normalmente sem sanguí. Mas eu falo, que a sanguínea seja contraria à cura do defluxo; eu falo, que a sanguínea é muito necessário em certas espécies, principalmente quando a febre, a inflamação do peito, e a repressão saem forte, quando a entorse ou a excarriação é difícil; porque se desprezar da sanguínea em estas circunstancias, a doença é muitas vezes mais seria, e grave, e muda de natureza; e mata os doentes, o que acontece muitas vezes mais. O menor mal, que fossem capazes de seguir, é, que hum tal catarrho, que teria curado no espaço de sete a oito dias com uma, ou duas sangras feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que os doentes correm; e com efeito ninguem ignora, que o defluxo seja uma accumulação inflammatoria das partes onde ela está sent: Agora, todos os Professors de Arte sabem, que a sangueta é o único, mais seguro, e mais rápido remedio para curar todas as infecções; e depois, é o que se coloca, e é o que se precisa de sangueta no defluxo, quando a febre é forte, quando a febre dura mais de 20 ou 4 horas, quando a tosse é forte, as orelhas é forte, e quando o pulm é cheio, e duro.	44.206099414924076
As especies de defluxo saõ tres ; a primeira ataca as partes que forraõ interiormente as ventas , o seio que occupa a parte inferior , e media do osso frontal , que se chama feio frontal , e outras duas cavidades , que estaõ entre os ossos da maxilla superior , que se chamaõ tambem feios maxillares , e este se chama defluxo do cerebro ; o segundo ataca o fundo da garganta ; o terceiro finalmente ataca a laringe , que he o canal , que vai da bocca acabar em o bofe , e se chama catarrho do peito ; a infammaçaõ communica-se muitas vezes de huma parte á outra , e algumas vezes ellas saõ atacadas todas ao mesmo tempo , o que faz o catarrho mais perigoso , e mais dificil de curar .	As espécies de defluxo são três; a primeira ataca as partes que forram interiormente as ventas, o seio que ocupa a parte inferior, e média do osso frontal, que se chama feio frontal, e outras duas cavidades, que estão entre os ossos da maxila superior, que se chamam também feios maxilares, e este se chama defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que é o canal, que vai da boca acabar em o bofe, e se chama catarro do peito; a inflamação comunica-se muitas vezes de uma parte à outra, e algumas vezes elas são atacadas todas ao mesmo tempo, o que faz o catarro mais perigoso, e mais difícil de curar.	As defluências são três: A primeira ataca as partes que entram nas vendas, o seio que ocupa a parte inferior, e a media da orelha, que se chama de "" frontal "" e duas cavidades, que se encontram entre os ossos da maxilar superior, que se chama também de "" maxilar inferior, "" que se chama de defluência cerebral; a segunda ataca a parte inferior da garganta; a third finalmente ataca a laringe, que se chama de canal, que vem da boca para dentro da bofa, que se chama de tétanos; a infecção communica muitas vezes entre os humanos, e algumas vezes elas são atacadas simultaneamente, o que faz com o tétanos mais perigoso, e mais difícil de curar.	34.7655525956461
Se as alternativas do ár , a intemperança das estações , e a inconstancìa dos tempos produzem frequentemente catarrhos entre os que habitaõ as Cidades , com quanta maior razaõ os Marinheiros , que continuamente estaõ expostos a todas as intemperanças do ár , e que mudaõ , por assim dizer , todos os dias de clima , deveráõ estar sujeitos aos defluxos ; he verdade , que esta doença raras vezes he mortal ; mas se se despreza , como eu já disse , e se se naõ trata , como deve ser , entaõ póde vir a ser mortal , degenerando em defluxo de peito , em pleuriz , ou em peripneumonia .	Se as alternativas do ar, a intemperança das estações, e a inconstância dos tempos produzem frequentemente catarros entre os que habitam as Cidades, com quanta maior razão os Marinheiros, que continuamente estão expostos a todas as intemperanças do ar, e que mudam, por assim dizer, todos os dias de clima, deverão estar sujeitos aos defluxos; é verdade, que esta doença raras vezes é mortal; mas se se despreza, como eu já disse, e se se não trata, como deve ser, então pode vir a ser mortal, degenerando em defluxo de peito, em pleuris, ou em peripneumonia.	Se assortados do Ár, the expansão das estações, e a imprecisão do tempo produzem frequentemente catarões entre os que habitam as cidades, de quanto maior razão os marinheiros, que estarão constantemente expostos a todas as expansões do Ár, e que mudarem, por assim, todos os dias de clima, que estarão sujeito a flujos; é verdade, esta doença raramente é mortal; mas se se desprezar, como eu disse, e se nacer, como deve ser, pode vir a ser mortal, degenerando em defecção de peito, ou em pleura, ou em peripéumonia.	37.702312184625356
A causa mais ordinaria dos catarrhos he huma transpiraçaõ embaraçada , ou diminuida , hum sangue disposto para a inflammaçaõ , que produz o defluxo de peito , e as outras doenças , que reinaõ ao mesmo tempo , que o defluxo ; e todos os dias se está observando ; que os symptomas , que caracterizaõ o defluxo , saõ pouca diferentes dos que acompanhaõ estas outras doenças .	A causa mais ordinária dos catarros é uma transpiração embaraçada, ou diminuída, um sangue disposto para a inflamação, que produz o defluxo de peito, e as outras doenças, que reinam ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracterizam o defluxo, são pouca diferentes dos que acompanham estas outras doenças.	A causa mais comum de cataratas é uma transpiraça embarrascida, ou diminuída, é uma sangre disposta para a inflammacia, que produz o defluxo no peito, e as outras doenças, que reinam ao mesmo tempo, que o defluxo é observado todos os dias, que os sintomas, que caracterizam o defluxo, são pouco diferentes dos que acompanham estas outras doenças.	57.04722309543128
E com effeito elle he precedido , como ellas de tremor , de febre , de dôr de cabeca , de difficuldade de respirar ; a tosse vem ao depois ; ella he secca nos primeiros dias , e naõ se faz expectoraçaõ alguma de escarros ; pouco a pouco elles se vaõ formando , vaõ-se fazer do de hum dia para outro brancos , mais grossos , e sahem com menos difficuldade : todos os symptomas se moderaõ entaõ , se diminuem , e diz-se , que o catarrho está cozido .	E com efeito ele é precedido, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem ao depois; ela é seca nos primeiros dias, e não se faz expectoração alguma de escarros; pouco a pouco eles se vão formando, vão-se fazer do de um dia para outro brancos, mais grossos, e saem com menos dificuldade: todos os sintomas se moderam então, se diminuem, e diz-se, que o catarro está cozido.	Eficientemente, ela precede, como as tremor, como febre, como colar, como respirar; a tosse vem depois; ela seca nos primeiros dias, e naí se produce alguma escarpaça; e pouco a pouco elas formam, e vaiem de um dia para outro branco, mais grosso, e saem com menos dificuldade: todos os sintomas se moderarem, se diminuirem, e é-se que o sarampo está cocido.	30.016576577158848
