source	gold	translation	BLEU score
Avizo a V Pte q Noticie aos inquizidores q eu tenho dado a alma ao diabo, e q dezespero e aRenego de Ds Padre de Ds filho, e de Deos espyrito Santo, e de qtos Santos tem o Ceo; e q somte venero, amo, e adoro a Lucifer por Senhor de minha vida, e alma:	Aviso a Vossa Paternidade que noticie aos inquisidores que eu tenho dado a alma ao diabo e que desespero e arrenego de Deus, padre de Deus Filho e de Deus Espírito Santo e de quantos santos tem o céu, e que somente venero, amo e adoro a Lúcifer por senhor de minha vida e alma.	Eu crio ao v. P. Noticia aos inquiridores que eu deu a alma ao diabo, e q dezespero e aRenego de Ds Padre de Ds filho, e de Deus espyrito Santo, e de quetos Santos tem o Ceo; e q somte venero, amo, e adoro Lucifer por Senhor da minha vida, e alma:	10.662822031157635
e isto Repito, digo, e comfesso todos os instantes sem temor algũ desse Ds a qm athe gora Cegamte adorava pa meu mal;	E isto repito, digo e confesso todos os instantes, sem temor algum desse Deus, a quem até agora cegamente adorava para meu mal.	e isto Repito, digo, e resisti todos os momentos sem medo algũ da Ds a qm athe gora Cegamte adorava pa meu mal.	8.87823414549699
e porq desta mudança foy cauza o Pe Mel thomas, elle tenha o premio q dos infernaes spiritos espero	E porque desta mudança foi causa o padre Manuel Tomás, ele tenha o prémio que dos infernais espíritos espero.	E por esta mudança foy causa o Pe Mel thomas, ela tem o prémio q dos infernos, espero.	7.148072814198279
faso esta deliga por papel, porq a prizão me impozibilita pa a fazer eu proprio; e não Remeto as noticias a inquizidores algũ porq quero q seja V Pte obrigado a saber os Comfisados q tem, e a qm os emtrega; q infalivelmte me parese q está obrigado a dar pte deste cazo ao santo oficio,	Faço esta diligência por papel, porque a prisão me impossibilita para a fazer eu próprio, e não remeto as notícias a inquisidores algum porque quero que seja Vossa Paternidade obrigado a saber os confessados que tem e a quem os entrega; que infalivelmente me parece que está obrigado a dar parte deste caso ao Santo Ofício.	"" Doio esta liga por papel, "" por que o prision me impede "" a fazer eu mesmo; "" e não Receio as notícias "" algũ "" por que quero que seja V Pte "" obrigado a saber os Comisados "" q tem, e a qm entra; "" q infalivelmte "" parece-me que é obrigado a dar pte deste caço ao santo oficio,	9.577079136415175
e qdo o não faça prontisimamte creminarei a V Pte por consentidor das indozlencias com q o Pe Mel Thomas machado domina a Caza de Mariana da Silva, sem o atemorizar a Vista de Coatro Clerigos q por semelhantes Couzas Sahirão este a-cto de fé.	E, quando o não faça prontissimamente, criminarei a Vossa Paternidade por consentidor das indulgências com que o padre Manuel Tomás Machado domina a casa de Mariana da Silva, sem o atemorizar à vista de quatro clérigos que, por semelhantes coisas, saíram este ato de fé.	e se não fizer isso, antes creio no V.E. por consentir às inquisições, com que o Pe Mel Thomas achado dominava a caça da Maria da Silva, sem atemizar-o com a Vista de Coatro [Crião] por semelhantes Couzas Sahirão este acto de fé.	10.084570751211196
Não Repare na dezordem da escripta, q a pena com q fico não dá mais lugar q sertificarlhe q qqm dis isto he	Não repare na desordem da escrita, que a pena com que fico não dá mais lugar que certificar-lhe que quem diz isto é,	Não repara na dor da escripta, q pena com q fico não há lugar para q certifiquem q qqm dis isto he	5.3687145412727615
Antonio da Cruz e Silva	António da Cruz e Silva	Antonio da Cruz e Silva	66.87403049764218
Meu padrinho e mto meu Snor	Meu Padrinho e muito meu Senhor.	O meurinho e o meu Snor.	8.643019616048525
q Vm Logre saude	Que VM logre saúde.	"" Vm Saude "".	6.567274736060395
mto filis o estimarei Como quem a todos Vmces [...] he tão obrigada e devedora pella grandioza esmola q Vmces fizerão a Meu Irmão e pellos continos favores que de Vmces sempre resebemos	Muito feliz o estimarei, como quem a todos VMs é tão obrigada e devedora pela grandiosa esmola que VMs fizeram a meu irmão e pelos contínuos favores que de VMs sempre recebemos.	"" Eu estimava-o. "" Como todos os mamíferos — "" I've been so grato e grato "" — "" Mamíferos grande esmolo "" — "" I'm going to make a minha Irmão "" — "" Mamíferos grandes esmolo "" — "" I'm going to make favours que de mamíferos have always sido.	1.4657466945029212
