source	gold	translation	BLEU score
CAPITULO V .	CAPÍTULO V.	CAPÍTULO V. O que é que você tem de fazer?	12.605968092174914
Do Catarrho .	Do Catarro.	Faça o Catarrho.	15.97357760615681
Ainda que o catarrho naõ seja ordinariamente huma doença perigosa , com tudo naõ he menos verdade , que quando elle he desprezado, póde chegar a fazer-se tal ; en tenho conhecido Marinheiros , que morreraõ de tysica , em consequencia de hum catarrho desprezado .	Ainda que o catarro não seja ordinariamente uma doença perigosa, com tudo não é menos verdade, que quando ele é desprezado, pode chegar a fazer-se tal; eu tenho conhecido Marinheiros, que morreram de tísica, em consequência de um catarro desprezado.	Embora o catarrho não seja normalmente uma doença perigosa, com tudo menos a verdade, que quando desprezado, pode chegar a ser tal; em Marinheiros, eu conheço, que morre de tóxica, como consequência de um catarrho desprezado.	30.61999677389584
Ordinariamente julga-se , que naõ he precizo fazer remedio algum para curar o catarrho , e que quanto mais remedios se lhe fazem , mais elle dura , mas isto he hum erro popular ; porque o catarrho he huma doença , que se trata como as outras , e que se cura com remedios apropriados á natureza do mal.	Ordinariamente julga-se, que não é preciso fazer remédio algum para curar o catarro, e que quanto mais remédios se lhe fazem, mais ele dura, mas isto é um erro popular; porque o catarro é uma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	Geralmente se pensa que não é preciso fazer qualquer remédio para curar a catarro e que, quanto mais remédios forem feitos para ela, mas ela dura, mas isso é um erro popular; porque a catarro é uma doença humana, que é tratada como as outras e que é curada com remédios apropriados à natureza do mal.	37.27243180793453
Os que os desprezaõ , ou que fazem outros contrarios , aprendem à sua custa , o quaõ caro lhe sahe o terem-se conduzido mal .	Os que os desprezam, ou que fazem outros contrários, aprendem à sua custa, o quão caro lhe sai o terem-se conduzido mal.	Aqueles que nos desprezam ou fazem o contrário, aprendemos com eles, ou com os seus amigos, ou com a sua má conduta.	4.424483358384046
Ha entre os Marinheiros a respeito do catarrho huma preoccupaçaõ perigosa , que tem custado a vida a muitos delles ; julgaõ , que a sangria he contraria ao defluxos ; de forte que succede todos os dias , que hum Marinheiro atacado de hum defluxo de peito , de hum pleuriz , naõ se quer deixar sangrar , quando se lhe propõe , com o pretexto de que tem tosse , e que a sua doença naõ he senaõ hum defuxo ; eu tenho conhecido muitas victimas de similhante preoccupaçaõ ; eu concordaria com elles , que a sangria naõ he necessaria para curar hum simples defluxo , e que quando esta doença he benigna , ella se cura ordinariamente sem o soccorro da sangria; mas he falso , que a sangria seja contraria á cura do defluxo ; eu accrescento mesmo , que ella he muito necessaria em certas especies , principalmente quando a febre , a inflammaçaõ do peito , e a oppressaõ saõ fortes , quando a expectoraçaõ , ou sahida dos escarros se faz com dificuldade ; porque se se desprezar a sangria em taes circunstancias , faz-se a doença muitas vezes mais seria , e grave , muda de natureza ; e mata os doentes , o que succede muitissimas vezes ; o menor mal , que dahi se poderia seguir he , que hum tal catarrho , que se teria curado no espaço de sete para oito dias com huma , ou duas sangrias feitas quando era conveniente , dura muitas semanas sem contar os riscos , em que incorrem os doentes ; e com effeito ninguem ignora , que o defluxo seja huma accumulaçaõ inflammatoria das partes , aonde elle tem o seu assento : ora todos os Professores da Arte sabem , que a sangria he o unico , o mais seguro , e o mais prompto remedio para curar todas as especies de infammações ; logo póde-se , e deve-se mesmo sangrar no defluxo , quando a febre fôr violenta , quando esta durar mais de vinte e quatro horas , quando a tosse fôr forte , a pretas violenta , e quando o pulfo fôr cheio , e duro .	Há entre os Marinheiros a respeito do catarro uma preocupação perigosa, que tem custado a vida a muitos deles; julgam, que a sangria é contraria ao defluxos; de forte que sucede todos os dias, que um Marinheiro atacado de um defluxo de peito, de um pleuris, não se quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que a sua doença não é senão um defluxo; eu tenho conhecido muitas vítimas de semelhante preocupação; eu concordaria com eles, que a sangria não é necessária para curar um simples defluxo, e que quando esta doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas é falso, que a sangria seja contraria à cura do defluxo; eu acrescento mesmo, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos escarros se faz com dificuldade; porque se se desprezar a sangria em tais circunstancias, faz-se a doença muitas vezes mais séria, e grave, muda de natureza; e mata os doentes, o que sucede muitíssimas vezes; o menor mal, que daí se poderia seguir é, que um tal catarro, que se teria curado no espaço de sete para oito dias com uma, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja uma acumulação inflamatória das partes, aonde ele tem o seu assento: ora todos os Professores da Arte sabem, que a sangria é o único, o mais seguro, e o mais pronto remédio para curar todas as espécies de inflamações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando esta durar mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pulso for cheio, e duro.	Entre os marinheiros a preocupação perigosa com a catarrho humana, que já custou a vida de muitas pessoas; julga-se que a sangria é contrária aos fluxos; de forte que acontece todos os dias, que um marinheiro atacado de hum desfluxo de peito, de hum pleuriz, não quer deixar de sangrar, quando lhe é proposto, como pretexto de que tem tosse, e que sua doença não é um fungo; eu conheço muitas vítimas de preocupação semelhante; eu concordo com a simples conclusão de que a sangria é necessária para curar o sangue, e que quando esta doença é benigna, ela normalmente cura sem ou sem sangria; Mas é falso que a sangria seja contrária à cura do deslizamento; eu mesmo acredito que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito e a opressão são fortes, quando a expectoração ou a ausência de dois escárrios são consideradas difíceis; porque se desconsiderar a sangria em tais circunstâncias, torna-se uma doença muitas vezes mais grave, mudando de natureza; e mata os doentes, o que acontece muitas vezes; O mal menor, que se poderia seguir, que um tal catarro, que teria sido curado em sete a oito dias com o homem, ou duas sangrias feitas quando conveniente, dura muitas semanas sem contar os riscos que os doentes incorrem; e como efetivamente ninguém ignora, que o deslize é um acúmulo de hum hum inflamatório das partes, onde ela tem ou seu consentimento: Agora todos os professores de arte sabem que a sangria é o único ou mais seguro ou o remédio mais rápido para curar todas as espécies de inflamações; logo pode e deve sangrar sem fluxo, quando a febre for violenta, quando dura mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pó de cheio é duro.	42.01449225397674
As especies de defluxo saõ tres ; a primeira ataca as partes que forraõ interiormente as ventas , o seio que occupa a parte inferior , e media do osso frontal , que se chama feio frontal , e outras duas cavidades , que estaõ entre os ossos da maxilla superior , que se chamaõ tambem feios maxillares , e este se chama defluxo do cerebro ; o segundo ataca o fundo da garganta ; o terceiro finalmente ataca a laringe , que he o canal , que vai da bocca acabar em o bofe , e se chama catarrho do peito ; a infammaçaõ communica-se muitas vezes de huma parte á outra , e algumas vezes ellas saõ atacadas todas ao mesmo tempo , o que faz o catarrho mais perigoso , e mais dificil de curar .	As espécies de defluxo são três; a primeira ataca as partes que forram interiormente as ventas, o seio que ocupa a parte inferior, e média do osso frontal, que se chama feio frontal, e outras duas cavidades, que estão entre os ossos da maxila superior, que se chamam também feios maxilares, e este se chama defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que é o canal, que vai da boca acabar em o bofe, e se chama catarro do peito; a inflamação comunica-se muitas vezes de uma parte à outra, e algumas vezes elas são atacadas todas ao mesmo tempo, o que faz o catarro mais perigoso, e mais difícil de curar.	As três espécies de defluxo são: a primeira ataca as partes que se formam internamente como ventas, ou seios que ocupam a parte inferior, e a média do osso frontal, que é chamado de feio frontal, e as outras duas cavidades, que estão entre os ossos da maxila superior, que também é chamado de feios maxilais, e esta é chamada de defluxo do cérebro; a segunda ataca o fundo da garganta; a terceira ataca finalmente a laringe, que é o canal, que vai da boca até a bexiga, e se catarrho do peito; a inflamação humana comunica muitas vezes com os outros membros, e às vezes são atacadas todos ao mesmo tempo, o que torna o catarrho mais perigoso, mais difícil de curar.	46.69034689778981
Se as alternativas do ár , a intemperança das estações , e a inconstancìa dos tempos produzem frequentemente catarrhos entre os que habitaõ as Cidades , com quanta maior razaõ os Marinheiros , que continuamente estaõ expostos a todas as intemperanças do ár , e que mudaõ , por assim dizer , todos os dias de clima , deveráõ estar sujeitos aos defluxos ; he verdade , que esta doença raras vezes he mortal ; mas se se despreza , como eu já disse , e se se naõ trata , como deve ser , entaõ póde vir a ser mortal , degenerando em defluxo de peito , em pleuriz , ou em peripneumonia .	Se as alternativas do ar, a intemperança das estações, e a inconstância dos tempos produzem frequentemente catarros entre os que habitam as Cidades, com quanta maior razão os Marinheiros, que continuamente estão expostos a todas as intemperanças do ar, e que mudam, por assim dizer, todos os dias de clima, deverão estar sujeitos aos defluxos; é verdade, que esta doença raras vezes é mortal; mas se se despreza, como eu já disse, e se se não trata, como deve ser, então pode vir a ser mortal, degenerando em defluxo de peito, em pleuris, ou em peripneumonia.	Se as alternativas do ano, a intemperança das estações e a inconstância dos tempos produzem frequentemente catarro entre os que habitam as Cidades, como a maior raça dos marinheiros, que continuamente estão expostos a todas as intemperâncias do ano, e que mudam, por assim dizer, todos os dias do clima, devem estar sujeitos a fluxos; a verdade é que esta doença raramente é mortal; mas se degenerar, como já disse, e se tratar, como deve ser, pode vir a ser mortal, resultando em defluxo de peito, em pleuriz ou em peripneumonia.	51.14216700607207
A causa mais ordinaria dos catarrhos he huma transpiraçaõ embaraçada , ou diminuida , hum sangue disposto para a inflammaçaõ , que produz o defluxo de peito , e as outras doenças , que reinaõ ao mesmo tempo , que o defluxo ; e todos os dias se está observando ; que os symptomas , que caracterizaõ o defluxo , saõ pouca diferentes dos que acompanhaõ estas outras doenças .	A causa mais ordinária dos catarros é uma transpiração embaraçada, ou diminuída, um sangue disposto para a inflamação, que produz o defluxo de peito, e as outras doenças, que reinam ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracterizam o defluxo, são pouca diferentes dos que acompanham estas outras doenças.	A causa mais comum dos catarros é a transpiração embaraçada, ou diminuída, do sangue disposto para a inflamação, que produz o afluxo do peito, e de outras doenças, que ocorrem ao mesmo tempo que o afluxo; e todos os dias está sendo observado; que os sintomas, que caracterizam o afluxo, são poucos diferentes dos dois que acompanham estas outras doenças.	51.06569104274003
E com effeito elle he precedido , como ellas de tremor , de febre , de dôr de cabeca , de difficuldade de respirar ; a tosse vem ao depois ; ella he secca nos primeiros dias , e naõ se faz expectoraçaõ alguma de escarros ; pouco a pouco elles se vaõ formando , vaõ-se fazer do de hum dia para outro brancos , mais grossos , e sahem com menos difficuldade : todos os symptomas se moderaõ entaõ , se diminuem , e diz-se , que o catarrho está cozido .	E com efeito ele é precedido, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem ao depois; ela é seca nos primeiros dias, e não se faz expectoração alguma de escarros; pouco a pouco eles se vão formando, vão-se fazer do de um dia para outro brancos, mais grossos, e saem com menos dificuldade: todos os sintomas se moderam então, se diminuem, e diz-se, que o catarro está cozido.	E como os efeitos que já precederam, como tremores, febre, dor de cabeça, dificuldade para respirar; uma tosse vem depois; ela secou nos primeiros dias, e não faz expectativa de escaracos; pouco a pouco eles vão se formando, vai fazer de um dia para outro brancos, mas grossos, e sahem com menos dificuldade: todos os sintomas se moderar, diminuir, e diz-se, que a catarrho está cozido.	35.43256197447946
