source	gold	translation	BLEU score
Avizo a V Pte q Noticie aos inquizidores q eu tenho dado a alma ao diabo, e q dezespero e aRenego de Ds Padre de Ds filho, e de Deos espyrito Santo, e de qtos Santos tem o Ceo; e q somte venero, amo, e adoro a Lucifer por Senhor de minha vida, e alma:	Aviso a Vossa Paternidade que noticie aos inquisidores que eu tenho dado a alma ao diabo e que desespero e arrenego de Deus, padre de Deus Filho e de Deus Espírito Santo e de quantos santos tem o céu, e que somente venero, amo e adoro a Lúcifer por senhor de minha vida e alma.	Aviso a V Pte q Notícias aos inquisitores q eu dei uma alma ao diabo, e q eu desespero e a Renego de Ds Padre de Ds filho, e de Deos espíritos Santo, e de qtos Santos tem o Ceo; e q q somte venero, amo, e adoro Lucifer por Senhor da minha vida, e alma:	7.282891016123806
e isto Repito, digo, e comfesso todos os instantes sem temor algũ desse Ds a qm athe gora Cegamte adorava pa meu mal;	E isto repito, digo e confesso todos os instantes, sem temor algum desse Deus, a quem até agora cegamente adorava para meu mal.	E isto repito, digo, e confesso todos os instantes sem medo desse Ds a qm que agora Cegamte adorava por meu mal;	31.053643554864482
e porq desta mudança foy cauza o Pe Mel thomas, elle tenha o premio q dos infernaes spiritos espero	E porque desta mudança foi causa o padre Manuel Tomás, ele tenha o prémio que dos infernais espíritos espero.	Por causa desta mudança, o Pe Mel Thomas, que tem o prémio de dos infernaes espíritos espero.	11.401495772493403
faso esta deliga por papel, porq a prizão me impozibilita pa a fazer eu proprio; e não Remeto as noticias a inquizidores algũ porq quero q seja V Pte obrigado a saber os Comfisados q tem, e a qm os emtrega; q infalivelmte me parese q está obrigado a dar pte deste cazo ao santo oficio,	Faço esta diligência por papel, porque a prisão me impossibilita para a fazer eu próprio, e não remeto as notícias a inquisidores algum porque quero que seja Vossa Paternidade obrigado a saber os confessados que tem e a quem os entrega; que infalivelmente me parece que está obrigado a dar parte deste caso ao Santo Ofício.	Se esta liga por papel, porque a prisão me impõe a fazer o meu próprio; e não remeto como notícias a inquisitores ou por que quero que seja V Pte obrigado a saber os Comfisados q tem, e a qm os emtrega; q infallivelmte me parese que é obrigado a dar este caso ao santo ofício,	23.31364388568647
e qdo o não faça prontisimamte creminarei a V Pte por consentidor das indozlencias com q o Pe Mel Thomas machado domina a Caza de Mariana da Silva, sem o atemorizar a Vista de Coatro Clerigos q por semelhantes Couzas Sahirão este a-cto de fé.	E, quando o não faça prontissimamente, criminarei a Vossa Paternidade por consentidor das indulgências com que o padre Manuel Tomás Machado domina a casa de Mariana da Silva, sem o atemorizar à vista de quatro clérigos que, por semelhantes coisas, saíram este ato de fé.	E se for ou não, faça o que for preciso para creminar o V Pte por consentidor das indolências como o Pe Mel Thomas Machado domina a Caza de Mariana da Silva, sem o terrorizar a Vista de Coatro Clerigos por equipes de Couzas Sahirão este-cto de fé.	20.19908834287071
Não Repare na dezordem da escripta, q a pena com q fico não dá mais lugar q sertificarlhe q qqm dis isto he	Não repare na desordem da escrita, que a pena com que fico não dá mais lugar que certificar-lhe que quem diz isto é,	Não Repare a desordem da escrita, mas não há lugar para certificar-se.	9.636461728022592
Antonio da Cruz e Silva	António da Cruz e Silva	Antonio da Cruz e Silva	66.87403049764218
Meu padrinho e mto meu Snor	Meu Padrinho e muito meu Senhor.	Meu padre e meu filho Snor.	9.287528999566801
q Vm Logre saude	Que VM logre saúde.	q Vm Logre saude	0.0
mto filis o estimarei Como quem a todos Vmces [...] he tão obrigada e devedora pella grandioza esmola q Vmces fizerão a Meu Irmão e pellos continos favores que de Vmces sempre resebemos	Muito feliz o estimarei, como quem a todos VMs é tão obrigada e devedora pela grandiosa esmola que VMs fizeram a meu irmão e pelos contínuos favores que de VMs sempre recebemos.	Como quem a todos os Vmces [...] ele é tão obrigado e devedora pela grandioza esmola q Vmces fizerão a Meu Irmão e pelos contínuos favores que de Vmces sempre recebemos.	24.123909186863205
tudo seja pello amor de Ds	Tudo seja pelo amor de Deus.	Tudo é por amor de Ds.	15.619699684601283
Meu padrinho e Snor hũa aflissão em q me vejo me obriga a fazer esta obrigada de meus confesores	Meu padrinho e Senhor, uma aflição em que me vejo me obriga a fazer esta, obrigada de meus confessores.	Meu padre e Snor, por aflição em que me vêem obrigados a fazer esta obrigação de meus confessores.	28.346458121760875
sabera Vm em Como eu estive no Convento da esperanssa de Abrantes	Saberá VM em como eu estive no Convento da Esperança, de Abrantes.	sabera Vm em Como eu estive no Convento da Esperança de Abrantes	40.90790395780625
e estando na Conpanhia de duas freiras estas tais tendo notisia q lhe mudarão dali o Capellão e sendo suas particulares amigas so juntarao Com outras duas religiozas e fiandosse mim fizerão huma pineira pra saberem se o Capellão havia de ficar ou não	E, estando na companhia de duas freiras, estas tais, tendo notícia que lhe mudaram dali o capelão e sendo suas particulares amigas, se juntaram com outras duas religiosas e, fiando-se mim, fizeram uma peneira para saberem se o capelão havia de ficar ou não.	E, ao estarem na Companhia de duas freiras, estes tais têm a noção de que mudarão de casa para Capellão e sendo seus particulares amigos de juntarao Com outras duas religiosas e fiandosas, fizerão a sua vontade de saber se o Capellão deveria ficar ou não.	17.329508898318526
eu confesso q fui buscar a pineira e quis asistir pa ver Como se voltava a pineira e sem lhe bolirem q hera o sinal q dava pa dizer sim o não	Eu confesso que fui buscar a peneira e quis assistir, para ver como se voltava a peneira e sem lhe bulirem, que era o sinal que dava para dizer sim ou não.	Eu confesso que fui procurar uma pinheira e quis assistir para ver como se voltava uma pinheira e sem ele, eu me desabafava ou dava um sinal para dizer sim ou não.	35.85857995693812
mas não vi com medo de q me não quizesem asolver	Mas não vi, com medo de que me não quisessem absolver.	Mas não tenho medo de que não vou resolver isso.	15.909385168481824
