source	gold	translation	BLEU score
CAPITULO V .	CAPÍTULO V.	CAPTULO V.	55.03212081491043
Do Catarrho .	Do Catarro.	De Catarrho.	27.516060407455225
Ainda que o catarrho naõ seja ordinariamente huma doença perigosa , com tudo naõ he menos verdade , que quando elle he desprezado, póde chegar a fazer-se tal ; en tenho conhecido Marinheiros , que morreraõ de tysica , em consequencia de hum catarrho desprezado .	Ainda que o catarro não seja ordinariamente uma doença perigosa, com tudo não é menos verdade, que quando ele é desprezado, pode chegar a fazer-se tal; eu tenho conhecido Marinheiros, que morreram de tísica, em consequência de um catarro desprezado.	Embora o catarro não seja geralmente uma doença perigosa, com tudo não há menos verdade, que quando ele tem desprezado, ele pode chegar a ser tal; eu tenho conhecido marinheiros, que morrerão de tísica, em conseqüência de um catarro desprezado.	50.863766358268734
Ordinariamente julga-se , que naõ he precizo fazer remedio algum para curar o catarrho , e que quanto mais remedios se lhe fazem , mais elle dura , mas isto he hum erro popular ; porque o catarrho he huma doença , que se trata como as outras , e que se cura com remedios apropriados á natureza do mal.	Ordinariamente julga-se, que não é preciso fazer remédio algum para curar o catarro, e que quanto mais remédios se lhe fazem, mais ele dura, mas isto é um erro popular; porque o catarro é uma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	Geralmente, julga-se que eu não preciso fazer remédio algum para curar o catarro, e que quanto mais remédios se fazem, mais dura, mas isso tenho um erro popular; porque o catarro fuma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	70.49220871456168
Os que os desprezaõ , ou que fazem outros contrarios , aprendem à sua custa , o quaõ caro lhe sahe o terem-se conduzido mal .	Os que os desprezam, ou que fazem outros contrários, aprendem à sua custa, o quão caro lhe sai o terem-se conduzido mal.	Aqueles que os desprezam, ou que fazem outros contrários, aprendem às suas custas, o quão caro lhe saiu o terem conduzido mal.	58.35260168180163
Ha entre os Marinheiros a respeito do catarrho huma preoccupaçaõ perigosa , que tem custado a vida a muitos delles ; julgaõ , que a sangria he contraria ao defluxos ; de forte que succede todos os dias , que hum Marinheiro atacado de hum defluxo de peito , de hum pleuriz , naõ se quer deixar sangrar , quando se lhe propõe , com o pretexto de que tem tosse , e que a sua doença naõ he senaõ hum defuxo ; eu tenho conhecido muitas victimas de similhante preoccupaçaõ ; eu concordaria com elles , que a sangria naõ he necessaria para curar hum simples defluxo , e que quando esta doença he benigna , ella se cura ordinariamente sem o soccorro da sangria; mas he falso , que a sangria seja contraria á cura do defluxo ; eu accrescento mesmo , que ella he muito necessaria em certas especies , principalmente quando a febre , a inflammaçaõ do peito , e a oppressaõ saõ fortes , quando a expectoraçaõ , ou sahida dos escarros se faz com dificuldade ; porque se se desprezar a sangria em taes circunstancias , faz-se a doença muitas vezes mais seria , e grave , muda de natureza ; e mata os doentes , o que succede muitissimas vezes ; o menor mal , que dahi se poderia seguir he , que hum tal catarrho , que se teria curado no espaço de sete para oito dias com huma , ou duas sangrias feitas quando era conveniente , dura muitas semanas sem contar os riscos , em que incorrem os doentes ; e com effeito ninguem ignora , que o defluxo seja huma accumulaçaõ inflammatoria das partes , aonde elle tem o seu assento : ora todos os Professores da Arte sabem , que a sangria he o unico , o mais seguro , e o mais prompto remedio para curar todas as especies de infammações ; logo póde-se , e deve-se mesmo sangrar no defluxo , quando a febre fôr violenta , quando esta durar mais de vinte e quatro horas , quando a tosse fôr forte , a pretas violenta , e quando o pulfo fôr cheio , e duro .	Há entre os Marinheiros a respeito do catarro uma preocupação perigosa, que tem custado a vida a muitos deles; julgam, que a sangria é contraria ao defluxos; de forte que sucede todos os dias, que um Marinheiro atacado de um defluxo de peito, de um pleuris, não se quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que a sua doença não é senão um defluxo; eu tenho conhecido muitas vítimas de semelhante preocupação; eu concordaria com eles, que a sangria não é necessária para curar um simples defluxo, e que quando esta doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas é falso, que a sangria seja contraria à cura do defluxo; eu acrescento mesmo, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos escarros se faz com dificuldade; porque se se desprezar a sangria em tais circunstancias, faz-se a doença muitas vezes mais séria, e grave, muda de natureza; e mata os doentes, o que sucede muitíssimas vezes; o menor mal, que daí se poderia seguir é, que um tal catarro, que se teria curado no espaço de sete para oito dias com uma, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja uma acumulação inflamatória das partes, aonde ele tem o seu assento: ora todos os Professores da Arte sabem, que a sangria é o único, o mais seguro, e o mais pronto remédio para curar todas as espécies de inflamações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando esta durar mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pulso for cheio, e duro.	Há entre os marinheiros a respeito do catarro uma preocupação simples, que custou a vida a muitos; julgo que a sangria é contrária ao fluxo; de forte que acontece todos os dias, que um marinheiro atacado de um fluxo de peito, de um pleuriz, não se concordou em deixar sangrar, quando se lhe propôs, com o pretexto de um fluxo. Mas eu falhei, que a sangria é contrária à cura do defluxo; eu mesmo acresço, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos espargos se faz com dificuldade; porque se se despreza a sangria, muitas vezes se faz muito mais doença. O menor mal que se poderia seguir, que um tal catarro, que se teria curado no espaço de sete a oito dias com fumaça, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o fluxo seja fumaça acumulação inflamatória das partes, onde ela tem Agora todos os Professores de Arte sabem que a sangria é o único remédio mais seguro e rápido para curar todas as espécies de infamias; logo se pode, e se deve até sangrar no fluxo, quando a febre é violenta, quando dura mais de vinte e quatro horas, quando a tosse é forte, quando a tosse é violenta, quando o pulso é preto e violento.	41.13579740635241
As especies de defluxo saõ tres ; a primeira ataca as partes que forraõ interiormente as ventas , o seio que occupa a parte inferior , e media do osso frontal , que se chama feio frontal , e outras duas cavidades , que estaõ entre os ossos da maxilla superior , que se chamaõ tambem feios maxillares , e este se chama defluxo do cerebro ; o segundo ataca o fundo da garganta ; o terceiro finalmente ataca a laringe , que he o canal , que vai da bocca acabar em o bofe , e se chama catarrho do peito ; a infammaçaõ communica-se muitas vezes de huma parte á outra , e algumas vezes ellas saõ atacadas todas ao mesmo tempo , o que faz o catarrho mais perigoso , e mais dificil de curar .	As espécies de defluxo são três; a primeira ataca as partes que forram interiormente as ventas, o seio que ocupa a parte inferior, e média do osso frontal, que se chama feio frontal, e outras duas cavidades, que estão entre os ossos da maxila superior, que se chamam também feios maxilares, e este se chama defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que é o canal, que vai da boca acabar em o bofe, e se chama catarro do peito; a inflamação comunica-se muitas vezes de uma parte à outra, e algumas vezes elas são atacadas todas ao mesmo tempo, o que faz o catarro mais perigoso, e mais difícil de curar.	As espécies de defluxo são três; a primeira ataca as partes que forram interiormente as vendas, o seio que ocupa a parte inferior e meio do osso frontal, que se chama de feio frontal, e outras duas cavidades, que se chama também feias maxilares, e este se chama de defluxo do cérebro.	18.607021612350955
Se as alternativas do ár , a intemperança das estações , e a inconstancìa dos tempos produzem frequentemente catarrhos entre os que habitaõ as Cidades , com quanta maior razaõ os Marinheiros , que continuamente estaõ expostos a todas as intemperanças do ár , e que mudaõ , por assim dizer , todos os dias de clima , deveráõ estar sujeitos aos defluxos ; he verdade , que esta doença raras vezes he mortal ; mas se se despreza , como eu já disse , e se se naõ trata , como deve ser , entaõ póde vir a ser mortal , degenerando em defluxo de peito , em pleuriz , ou em peripneumonia .	Se as alternativas do ar, a intemperança das estações, e a inconstância dos tempos produzem frequentemente catarros entre os que habitam as Cidades, com quanta maior razão os Marinheiros, que continuamente estão expostos a todas as intemperanças do ar, e que mudam, por assim dizer, todos os dias de clima, deverão estar sujeitos aos defluxos; é verdade, que esta doença raras vezes é mortal; mas se se despreza, como eu já disse, e se se não trata, como deve ser, então pode vir a ser mortal, degenerando em defluxo de peito, em pleuris, ou em peripneumonia.	Se as alternativas do ar, a intempérie das estações, e a inconstância dos tempos, devem ser freqüentemente produzidas em poeira ou em fluxos entre os que habitam as cidades, quanto mais os marinheiros, que continuamente estão expostos a todas as intempéries do ar, e que mudam, por assim dizer, todos os dias de clima, devem estar sujeitos.	29.436485505923763
A causa mais ordinaria dos catarrhos he huma transpiraçaõ embaraçada , ou diminuida , hum sangue disposto para a inflammaçaõ , que produz o defluxo de peito , e as outras doenças , que reinaõ ao mesmo tempo , que o defluxo ; e todos os dias se está observando ; que os symptomas , que caracterizaõ o defluxo , saõ pouca diferentes dos que acompanhaõ estas outras doenças .	A causa mais ordinária dos catarros é uma transpiração embaraçada, ou diminuída, um sangue disposto para a inflamação, que produz o defluxo de peito, e as outras doenças, que reinam ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracterizam o defluxo, são pouca diferentes dos que acompanham estas outras doenças.	A causa mais comum dos catarros tem uma transpiração envergonhada, ou diminuída, um sangue disposto para a inflamação, que produz o fluxo de peito, e as outras doenças, que reinam ao mesmo tempo, que o fluxo; e todos os dias se está observando; que os sintomas, que caracterizam o fluxo de diferentes, são poupados.	65.82816639243711
E com effeito elle he precedido , como ellas de tremor , de febre , de dôr de cabeca , de difficuldade de respirar ; a tosse vem ao depois ; ella he secca nos primeiros dias , e naõ se faz expectoraçaõ alguma de escarros ; pouco a pouco elles se vaõ formando , vaõ-se fazer do de hum dia para outro brancos , mais grossos , e sahem com menos difficuldade : todos os symptomas se moderaõ entaõ , se diminuem , e diz-se , que o catarrho está cozido .	E com efeito ele é precedido, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem ao depois; ela é seca nos primeiros dias, e não se faz expectoração alguma de escarros; pouco a pouco eles se vão formando, vão-se fazer do de um dia para outro brancos, mais grossos, e saem com menos dificuldade: todos os sintomas se moderam então, se diminuem, e diz-se, que o catarro está cozido.	E com efeito ela tenho precedido, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem depois; ela tem secado nos primeiros dias, e não se expectoraão alguma escarros; pouco a pouco elas se vão formando, vai-se fazendo de um dia para outro brancos, vai-se fazendo de um dia para o outro maior.	43.816505531783555
Taes saõ pois os passos , e a marcha , que faz hum catarrho do peito , que ataca a superficie do bofe .	Tais são pois os passos, e a marcha, que faz um catarro do peito, que ataca a superfície do bofe.	Então saem os passos, e a marcha, que faz um catarro do peito, que ataca a superfície do bofe.	86.81335263730104
Naõ he mesmo couza rara , que nesta especie os doentes tenhaõ pontadas , e dóres no lado ; ainda que na verdade ellas saõ mais leves , duraõ menos , do que no pleuriz verdadeiro .	Não é mesmo coisa rara, que nesta espécie os doentes tenham pontadas, e dores no lado; ainda que na verdade elas são mais leves, duram menos, do que no pleuris verdadeiro.	Nao tenho mesmo coça rara, que nesta espécie os doentes tenham pontas, e dores no lado; embora na verdade elas sejam mais leves, duram menos, do que na pleurisia verdadeira.	53.689590748938464
No defluxo , que ataca a guéla , e o fundo da garganta , todas estas partes estaõ inchadas ; os doentes engolem , e respiraõ com trabalho , até que ellas se desembaracem .	No defluxo, que ataca a goela, e o fundo da garganta, todas estas partes estão inchadas; os doentes engolem, e respiram com trabalho, até que elas se desembaracem.	No fluxo, que ataca a guela, e o fundo da garganta, todas essas partes estão inchadas; os doentes engoliram, e respiram com trabalho, até que elas se desfaçam.	65.43617403474552
