source	gold	translation	BLEU score
6º. A parochia esta cituada em hum dezerto, sem mais vizinhança, que a do parocho, sacristão, e outro vezinho; e nestes tres fogos se contão somente dés pessoas, entrando nesta soma homens, mulheres, e meninos.	6º A paróquia está situada em um deserto, sem mais vizinhança, que a do pároco, sacristão e outro vizinho; e nestes três fogos se contam somente dez pessoas, entrando nesta soma homens, mulheres, e meninos.	6.o. A paróquia está cituada em um deserto, sem mais vizinhança, que a do paróquio, sacristão, e outro becozinho; e nestes três fogos se contem somente dês pessoas, entrando nesta soma homens, mulheres, e meninos.	59.39649720804161
7º. O seo orago he Nossa Senhora das Ciladas, de cujo nome a echemologia he, porque / seguindo a tradição / no tempo dos sarracemos na serra de Coroados, ou Monte de Carvão os christãos armárão humas ciladas, e fizerão emboscadas para captivar hum grande comboyo de vitualhos, petrexos de guerra, e mantimentos, que se encaminhava para áquelles; e no tal conflito invocarão estes o patrocinio de Nossa Senhora, fazendo voto de lhe fazer huma ermida, se sahissem com victoria nas suas ciladas: e succedeo, que / favorecendo- os Nossa Senhora / captivárão a preza, como intentárão.	7º O seu orago é Nossa Senhora das Ciladas, de cujo nome a etimologia é, porque (segundo a tradição) no tempo dos Sarracenos na serra de Coroados, ou montes de carvão os cristãos armaram umas ciladas, e fizeram emboscadas para cativar um grande comboio de vitualhas, apetrechos de guerra, e mantimentos, que se encaminhava para aqueles; e no tal conflito invocaram estes o patrocínio de Nossa Senhora, fazendo voto de lhe fazer uma ermida, se saíssem com vitória nas suas ciladas: e sucedeu, que (favorecendo-os Nossa Senhora) cativaram a presa, como intentaram.	7.o. O seio é Nossa Senhora das Ciladas, de cujo nome a echemologia é, porque / seguindo a tradição / no tempo dos sarracenos na serra de Coroados, ou Monte de Carvão os cristãos armarão umas ciladas, e farão emboscadas para cativar um grande combóio de vituários, petrexos de guerra, e alimentos, que se lhes encaminharão para o conflito; e se lhes farão cativeiro com tal cativeiro, que se lhescedeiam os votos de Nossa Senhoras.	25.42811970353138
E fizerão huma ermida pequena a Nossa Senhora com o singular titulo das Ciladas.	E fizeram uma ermida pequena a Nossa Senhora com o singular título das Ciladas.	E farão uma ermida pequena a Nossa Senhora com o singular título das Ciladas.	86.66415730847507
Esta jgreja por tres vezes tem sido acrescentada, o que bem se conhecia dos alicerces da mesma, quando no mês de Julho de 1748 lhe desmanchey as paredes, e alicerces para efeyto de a fabriar de aboboda, a qual obra principiey, e consumey de esmollas, que os —- pedi, e a juntey nesta freguezia, e suas vezinhanças pelo amor de Deos, e da mesma Senhora.	Esta igreja por três vezes tem sido acrescentada, o que bem se conhecia dos alicerces da mesma, quando no mês de Julho de 1748 lhe desmanchei as paredes, e alicerces para efeito de a fabricar de abóboda, a qual obra principiei, e consumei de esmolas, que ostiatim pedi, e ajuntei nesta freguesia, e suas vizinhanças pelo amor de Deus, e da mesma Senhora.	Esta jgreja por três vezes tem sido acrescentada, o que bem se conhecia dos alicerces da mesma, quando no mês de Julho de 1748 lhe desmanchei as paredes, e alicerces para efeito de a fabricar de abobada, a qual obra principiey, e consumey de esmolas, que os- pedi, e a juntei nesta freguesia, e suas vinhazinhas, de amor da Senhora, e de os dedos pelos da mesma.	62.82543505476418
Tem a jgreja huma só navem, e abobada de berco: antigamente tinha seis altares; porem quando a reedifiquey, lhe ficârão somente tres altares, porque, sendo jgreja pobre, não podia bem paramentar santos, como tinha.	Tem a igreja uma só nave, e abóbada de berço: antigamente tinha seis altares; porém quando a reedifiquei, lhe ficaram somente três altares, porque, sendo igreja pobre, não podia bem paramentar tantos, como tinha.	Tem a jgreja uma só navem, e abóbada de berco: antigamente tinha seis altares; porém quando a reedifiquei, lhe ficaram somente três altares, porque, sendo jgreja pobre, não podia bem paramentar santos, como tinha.	69.61326482629636
E por este modo tem tres a saber o altar mayor, em cujo trono esta a jmagem de Nossa Senhora das Ciladas, e nas banquetas dos lados estão as jmágens de São Pedro Appostolo, e de São João Baptista: hum dos altares collateraes da parte direyta he de Nossa Senhora do Rozario, em cujo trono se venera a jmágem da mesma Senhora, e nas banquetas dos lados estão as jmágens de Nossa Senhora dos Milagres, e de Santo Antonio de Lisboa: o outro altar collateral he das Almas, em cujo respaldo se venera huma jmágem de Jezus crucificado, e junto ao calvario da crus estão pintadas duas almas do purgatorio pedindo á soberana magestade o alivio daquellas penas; e aos fieis os sulfragios para o referido fim.	E por este modo tem três a saber o altar maior, em cujo trono está a imagem de Nossa Senhora das Ciladas, e nas banquetas dos lados estão as imagens de São Pedro Apóstolo, e de São João Batista: um dos altares colaterais da parte direita é de Nossa Senhora do Rosário, em cujo trono se venera a imagem da mesma Senhora, e nas banquetas dos lados estão as imagens de Nossa Senhora dos Milagres, e de Santo António de Lisboa: o outro altar colateral é das Almas, em cujo respaldo se venera uma imagem de Jesus crucificado, e junto ao calvário da cruz estão pintadas duas almas do Purgatório pedindo à soberana Majestade o alívio daquelas penas; e aos fiéis os sufrágios para o referido fim.	E por este modo tem três a saber o altar maior, em cujo trono está a jmagem de Nossa Senhora das Ciladas, e nas banquetas dos lados estão as jmagens de São Pedro Apóstolo, e de São João Baptista: um dos altares colaterais da parte direita é de Nossa Senhora do Rozário, em cujo trono se venera a jmagem da mesma Senhora, e nas banquetas dos lados estão as missagens de Nossa Senhora Santa, e o outro em cujo colchão se venera o Santo de Lisboa:	44.40986440314275
Nestes dous altares há duas jrmandades; huma do Rozario, e outra das Almas, e ambos ecelesiasticas, erectas authoritates ordinari.	Nestes dois altares há duas Irmandades; uma do Rosário, e outra das Almas, e ambas eclesiásticas, erectas authoritate ordinarii.	Nestes dois altares há duas irmandades; uma do Rosário, e outra das Almas, e ambos eclesiásticas, erectas authoritates ordinário.	63.55183125619188
8º. O parocho he cura, e em algum tempo foy da aprezentação da Meza da Conciencia, assim como ainda he a jgreja matriz de Vila Viçoza.	8º O pároco é cura, e em algum tempo foi da apresentação da Mesa da Consciência, assim como ainda é a igreja matriz de Vila Viçosa, e a igreja de São Bartolomeu freguesia da mesma vila.	8. O pároco é cura, e em algum tempo foi da apresentação da Mesa da Consciência, assim como ainda é a jgreja matriz de Vila Viçoza.	55.60878811606259
E há tradição, que sendo esta jgreja curada pelos freyres de São Bento de Aviz, em tempo de guerras por falta de menistros , que havia na dita ordem, ou talves por medo do jnimigo se pôz vaga, e sendo provida pelo prelado ordinario, ficou mesmo intreor na posse de a aprezentar: e nestes termos he da aprezentação de Vossa Excelencia Reverendissima, e senhores Arcebispos metropolitanos de Evora, et sede vaccante he da aprezentação do Reverendissimo Cabbido da mesma Sée [sic].	E há tradição, que sendo esta igreja curada pelos freires de São Bento de Aviz, em tempo de guerras por falta de ministros, que havia na dita ordem, ou talvez por medo do inimigo se pôs vaga, e sendo provida pelo Prelado Ordinário, ficou o mesmo intruso na posse a apresentar: e nestes termos é da apresentação de Vossa Excelência Reverendíssima, e Senhores Arcebispos Metropolitanos de Évora, et sede vacante é da apresentação do Reverendíssimo Cabido da mesma Sé.	E há tradição, que sendo esta igreja curada pelos freires de São Bento de Aviz, em tempo de guerras por falta de ministros, que havia na dita ordem, ou talvez por medo do jinnimo se pôs vaga, e sendo provida pelo prelado ordinário, ficou mesmo intrere na posse de a apresentar: e nestes termos é da apresentação de Vossa Excelência Reverendo, Eminentíssima Reverendo, Eminentíssimo Reverendo Senhor da Sé.	63.01400627654983
A sobredita tradição se confirma; porque athe ao anno de 1749 se conservou a estillo da serem aprezentados os sáchristães desta jgreja pelo Reverendo Juiz da Ordem da villa de Estremoz, e a ultima aprezentação foy em João Sutil feyta pelo Reverendo Doutor Manoel da Costa, Juiz da ordem de Avis, e prior da matriz da villa de Estremoz, e dentro de seis mezes erão obrigados os taes sacristães tirar a sua provizão da Meza da Conciencia.	A sobredita tradição se confirma; porque até ao ano de 1749 se conservou a estilo de serem apresentados os sacristães desta igreja pelo Reverendo Juiz da Ordem da vila de Estremoz, e a última apresentação foi em João Sutil feita pelo Reverendo Doutor Manuel da Costa, Juiz da Ordem de Avis, e Prior da Matriz da vila de Estremoz, e dentro de seis meses eram obrigados os tais sacristães tirar a sua provizão da Mesa da Consciência.	A sobredita tradição se confirma; porque athe ao ano de 1749 se conservou o estilo da serem apresentados os sácristãos desta igreja pelo Reverendo Juiz da Ordem da vila de Estremoz, e a última apresentação foi em João Sutil feyta pelo Reverendo Doutor Manoel da Costa, Juiz da ordem de Avis, e prior da matriz da vila de Estremoz, e dentro de seis meses me tirarão os sacristãos da sua providência.	56.87382515268747
