source	gold	translation	BLEU score
Avizo a V Pte q Noticie aos inquizidores q eu tenho dado a alma ao diabo, e q dezespero e aRenego de Ds Padre de Ds filho, e de Deos espyrito Santo, e de qtos Santos tem o Ceo; e q somte venero, amo, e adoro a Lucifer por Senhor de minha vida, e alma:	Aviso a Vossa Paternidade que noticie aos inquisidores que eu tenho dado a alma ao diabo e que desespero e arrenego de Deus, padre de Deus Filho e de Deus Espírito Santo e de quantos santos tem o céu, e que somente venero, amo e adoro a Lúcifer por senhor de minha vida e alma.	Aviso a V Pte q Notícia aos inquiridores que eu tenho dado a alma ao diabo, e q desespero e aRenego de Ds Padre de Ds Filho, e de Deus Espírito Santo, e de qtos Santos tem o Céu; e q é venero, amo, e adoro a Lúcifer por Senhor da minha vida, e alma:	29.956557819028863
e isto Repito, digo, e comfesso todos os instantes sem temor algũ desse Ds a qm athe gora Cegamte adorava pa meu mal;	E isto repito, digo e confesso todos os instantes, sem temor algum desse Deus, a quem até agora cegamente adorava para meu mal.	e isto Repito, digo, e confesso todos os instantes sem medo algum daquele Ds a quem o gora Cegamte adorava para o meu mal;	20.979756779230854
e porq desta mudança foy cauza o Pe Mel thomas, elle tenha o premio q dos infernaes spiritos espero	E porque desta mudança foi causa o padre Manuel Tomás, ele tenha o prémio que dos infernais espíritos espero.	e porq desta mudança foi causa o Pe Mel Thomas, ele tenha o prêmio q dos infernais espíritos espero	40.011456975011164
faso esta deliga por papel, porq a prizão me impozibilita pa a fazer eu proprio; e não Remeto as noticias a inquizidores algũ porq quero q seja V Pte obrigado a saber os Comfisados q tem, e a qm os emtrega; q infalivelmte me parese q está obrigado a dar pte deste cazo ao santo oficio,	Faço esta diligência por papel, porque a prisão me impossibilita para a fazer eu próprio, e não remeto as notícias a inquisidores algum porque quero que seja Vossa Paternidade obrigado a saber os confessados que tem e a quem os entrega; que infalivelmente me parece que está obrigado a dar parte deste caso ao Santo Ofício.	faso está deliga por papel, porq a prisão me parece impossibilta pa a fazer eu próprio; e não Remeto as notícias a inquisidores alg porq quero que seja V Pte obrigado a saber os Comfisados que tem, e a quem os emtrega; q infalivelmte me parese q está obrigado a dar pte deste caso ao santo ofício,	27.41253834872822
e qdo o não faça prontisimamte creminarei a V Pte por consentidor das indozlencias com q o Pe Mel Thomas machado domina a Caza de Mariana da Silva, sem o atemorizar a Vista de Coatro Clerigos q por semelhantes Couzas Sahirão este a-cto de fé.	E, quando o não faça prontissimamente, criminarei a Vossa Paternidade por consentidor das indulgências com que o padre Manuel Tomás Machado domina a casa de Mariana da Silva, sem o atemorizar à vista de quatro clérigos que, por semelhantes coisas, saíram este ato de fé.	e quando o não fizer preparsimamte creminarei a V Pte por consentidor das indolências com quem o Pe Mel Thomas machado domina a Caça de Mariana da Silva, sem o atemorizar a Vista de Quatro Clérigos q por semelhantes Couzas Sahirão este ato de fé.	27.68435440000143
Não Repare na dezordem da escripta, q a pena com q fico não dá mais lugar q sertificarlhe q qqm dis isto he	Não repare na desordem da escrita, que a pena com que fico não dá mais lugar que certificar-lhe que quem diz isto é,	Não Repare na desordem da escrita, q a pena com q fico não dá mais lugar q sertificar-lhe qqm dizes isto é isto é	35.693754559323295
Antonio da Cruz e Silva	António da Cruz e Silva	Antonio da Cruz e Silva	66.87403049764218
Meu padrinho e mto meu Snor	Meu Padrinho e muito meu Senhor.	O meu padrinho e o meu Snor	7.809849842300637
q Vm Logre saude	Que VM logre saúde.	q Vm Logre saúde	12.44023474812678
mto filis o estimarei Como quem a todos Vmces [...] he tão obrigada e devedora pella grandioza esmola q Vmces fizerão a Meu Irmão e pellos continos favores que de Vmces sempre resebemos	Muito feliz o estimarei, como quem a todos VMs é tão obrigada e devedora pela grandiosa esmola que VMs fizeram a meu irmão e pelos contínuos favores que de VMs sempre recebemos.	mto filis o estimarei Como quem a todos Vmces [...] é tão obrigada e devedora pela grande esmola que Vmces farão a Meu Irmão e pelos contínuos favores que de Vmces sempre recebemos	32.92610942512308
tudo seja pello amor de Ds	Tudo seja pelo amor de Deus.	tudo seja pello amor de Ds	15.207218222740094
Meu padrinho e Snor hũa aflissão em q me vejo me obriga a fazer esta obrigada de meus confesores	Meu padrinho e Senhor, uma aflição em que me vejo me obriga a fazer esta, obrigada de meus confessores.	O meu padrinho e Snor ha aflição em que me vejo me obriga a fazer esta obrigação dos meus confessores	47.21951075374014
sabera Vm em Como eu estive no Convento da esperanssa de Abrantes	Saberá VM em como eu estive no Convento da Esperança, de Abrantes.	sabera Vm em Como eu estive no Convento da esperansa de Abrantes	31.912901122227073
e estando na Conpanhia de duas freiras estas tais tendo notisia q lhe mudarão dali o Capellão e sendo suas particulares amigas so juntarao Com outras duas religiozas e fiandosse mim fizerão huma pineira pra saberem se o Capellão havia de ficar ou não	E, estando na companhia de duas freiras, estas tais, tendo notícia que lhe mudaram dali o capelão e sendo suas particulares amigas, se juntaram com outras duas religiosas e, fiando-se mim, fizeram uma peneira para saberem se o capelão havia de ficar ou não.	e estando na Conpanhia de duas freiras estas tais tendo notícia q lhe mudarão de lá o Capelão e sendo suas particulares amigas só o juntarão Com outras duas religiosas e fiando-se eu farão uma pineira para saberem se o Capelão havia de ficar ou não.	30.744919661306533
eu confesso q fui buscar a pineira e quis asistir pa ver Como se voltava a pineira e sem lhe bolirem q hera o sinal q dava pa dizer sim o não	Eu confesso que fui buscar a peneira e quis assistir, para ver como se voltava a peneira e sem lhe bulirem, que era o sinal que dava para dizer sim ou não.	eu confesso q fui buscar a pineira e quis assistir para ver Como se voltava a pineira e sem lhe bolirem q era o sinal q dava dizer sim o não	15.112567086962512
mas não vi com medo de q me não quizesem asolver	Mas não vi, com medo de que me não quisessem absolver.	mas não vi com medo de me não quisessem resolver	22.11154143869056
