source	gold	translation	BLEU score
Avizo a V Pte q Noticie aos inquizidores q eu tenho dado a alma ao diabo, e q dezespero e aRenego de Ds Padre de Ds filho, e de Deos espyrito Santo, e de qtos Santos tem o Ceo; e q somte venero, amo, e adoro a Lucifer por Senhor de minha vida, e alma:	Aviso a Vossa Paternidade que noticie aos inquisidores que eu tenho dado a alma ao diabo e que desespero e arrenego de Deus, padre de Deus Filho e de Deus Espírito Santo e de quantos santos tem o céu, e que somente venero, amo e adoro a Lúcifer por senhor de minha vida e alma.	Aviso os inquiridores que dei a alma ao diabo, e q desespero e aRenego de Deus Pai de Ds Filho, e de Deus Espírito Santo, e de qtos Santos tem o Céu; e q sou venerável, amo, e adoro Lúcifer por Senhor da minha vida, e alma:	16.896940988372965
e isto Repito, digo, e comfesso todos os instantes sem temor algũ desse Ds a qm athe gora Cegamte adorava pa meu mal;	E isto repito, digo e confesso todos os instantes, sem temor algum desse Deus, a quem até agora cegamente adorava para meu mal.	E isso eu repito, eu digo, e eu confesso todos os momentos sem medo de qualquer coisa desse Ds a quem o gora Cegamte adorava para o meu mal;	8.767682465879751
e porq desta mudança foy cauza o Pe Mel thomas, elle tenha o premio q dos infernaes spiritos espero	E porque desta mudança foi causa o padre Manuel Tomás, ele tenha o prémio que dos infernais espíritos espero.	E por causa dessa mudança, Pe. Mel Thomas, ela tem o prêmio dos espíritos infernais.	3.156106667546408
faso esta deliga por papel, porq a prizão me impozibilita pa a fazer eu proprio; e não Remeto as noticias a inquizidores algũ porq quero q seja V Pte obrigado a saber os Comfisados q tem, e a qm os emtrega; q infalivelmte me parese q está obrigado a dar pte deste cazo ao santo oficio,	Faço esta diligência por papel, porque a prisão me impossibilita para a fazer eu próprio, e não remeto as notícias a inquisidores algum porque quero que seja Vossa Paternidade obrigado a saber os confessados que tem e a quem os entrega; que infalivelmente me parece que está obrigado a dar parte deste caso ao Santo Ofício.	Se eu fizer esta delegação por papel, porque a prisão me impede de fazê-la eu próprio; e eu não envio as notícias a inquiridores, porque eu quero que seja V Pte obrigado a saber os Comfisados que você tem, e a quem eu os entrego; q infalivelmte me pareça que ele é obrigado a dar este caso ao santo ofício,	22.171731801137696
e qdo o não faça prontisimamte creminarei a V Pte por consentidor das indozlencias com q o Pe Mel Thomas machado domina a Caza de Mariana da Silva, sem o atemorizar a Vista de Coatro Clerigos q por semelhantes Couzas Sahirão este a-cto de fé.	E, quando o não faça prontissimamente, criminarei a Vossa Paternidade por consentidor das indulgências com que o padre Manuel Tomás Machado domina a casa de Mariana da Silva, sem o atemorizar à vista de quatro clérigos que, por semelhantes coisas, saíram este ato de fé.	E quando eu não estiver pronto, vou cremar você por consentir com a indolência com a qual o Pe. Mel Thomas machado domina a Caça de Mariana da Silva, sem ter medo da Vista de Quatro Clérigos q por semelhantes Couzas Sahirão este ato de fé.	19.82009848990766
Não Repare na dezordem da escripta, q a pena com q fico não dá mais lugar q sertificarlhe q qqm dis isto he	Não repare na desordem da escrita, que a pena com que fico não dá mais lugar que certificar-lhe que quem diz isto é,	Não olhe para o desordenamento da escrita, q a pena com q fico não dá mais lugar q lhe sertificar qqqm digo isto he	24.192619393259786
Antonio da Cruz e Silva	António da Cruz e Silva	Antonio da Cruz e Silva	66.87403049764218
Meu padrinho e mto meu Snor	Meu Padrinho e muito meu Senhor.	Meu padrinho e meu snor.	9.71654721818804
q Vm Logre saude	Que VM logre saúde.	q Vm Logre saude	0.0
mto filis o estimarei Como quem a todos Vmces [...] he tão obrigada e devedora pella grandioza esmola q Vmces fizerão a Meu Irmão e pellos continos favores que de Vmces sempre resebemos	Muito feliz o estimarei, como quem a todos VMs é tão obrigada e devedora pela grandiosa esmola que VMs fizeram a meu irmão e pelos contínuos favores que de VMs sempre recebemos.	Mto filis o estimarei Como quem a todos Vmces... tenho tão obrigada e devedora pela grandiosidade da esmola que Vmces farão ao Meu Irmão e pelos contínuos favores que de Vmces sempre recebemos	30.200280724298825
tudo seja pello amor de Ds	Tudo seja pelo amor de Deus.	tudo seja pello amor de Ds	15.207218222740094
Meu padrinho e Snor hũa aflissão em q me vejo me obriga a fazer esta obrigada de meus confesores	Meu padrinho e Senhor, uma aflição em que me vejo me obriga a fazer esta, obrigada de meus confessores.	Meu padrinho e Snor aflição em que me vejo me obriga a fazer esta obrigação de meus confessores	53.43149081986374
sabera Vm em Como eu estive no Convento da esperanssa de Abrantes	Saberá VM em como eu estive no Convento da Esperança, de Abrantes.	Você saberá em Como estive no Convento da Esperança de Abrantes	31.763442542283983
e estando na Conpanhia de duas freiras estas tais tendo notisia q lhe mudarão dali o Capellão e sendo suas particulares amigas so juntarao Com outras duas religiozas e fiandosse mim fizerão huma pineira pra saberem se o Capellão havia de ficar ou não	E, estando na companhia de duas freiras, estas tais, tendo notícia que lhe mudaram dali o capelão e sendo suas particulares amigas, se juntaram com outras duas religiosas e, fiando-se mim, fizeram uma peneira para saberem se o capelão havia de ficar ou não.	e estando na Companhia de duas freiras estas tais tendo notícia q lhe mudarão de lá o Capelão e sendo suas particulares amigas só o juntarão com outras duas religiosas e, confiando em mim, farão uma bagunça para saber se o Capelão deveria ficar ou não	25.641178616682293
eu confesso q fui buscar a pineira e quis asistir pa ver Como se voltava a pineira e sem lhe bolirem q hera o sinal q dava pa dizer sim o não	Eu confesso que fui buscar a peneira e quis assistir, para ver como se voltava a peneira e sem lhe bulirem, que era o sinal que dava para dizer sim ou não.	Eu confesso que fui buscar a bagunça e quis assistir para ver como se voltava a bagunça e sem bolirem q havia o sinal q dava para dizer sim o não	39.69538148006036
mas não vi com medo de q me não quizesem asolver	Mas não vi, com medo de que me não quisessem absolver.	Mas não vi com medo de que eu não quisesse resolver.	30.039183588157954
as q nesta ocasião a fizerão são as seguintes Me dona Ma madalena dona he a qual he agora abadessa e a Me Antonia Ma e a Me Catherina dos Saraphns e a Me violante Ma de jasus	As que nesta ocasião a fizeram são as seguintes: Madre Dona Maria Madalena, dona e a qual é agora abadessa, e a Madre Antónia Maria e a Madre Catarina dos Sarafins e a Madre Violante Maria de Jesus.	as que nesta ocasião a farão são as seguintes Me dona Madalena dona he a qual tenho agora abadessa e Me Antonia Ma e Me Catherina dos Saraphns e Me violante Ma de jasus	10.729015699214745
estas são q eu sei q a fizerão mas suponho não continuam	Estas são que eu sei que a fizeram, mas suponho não continuam.	Estas são q eu sei q farão, mas suponho que não continuem.	16.98619749062629
e isto havera dois annos pouco mais e menos	E isto haverá dois anos, pouco mais e menos.	E isso terá dois anos, pouco mais e menos.	69.89307622784945
tambem A Me Joanna Catherina do mesmo Convento se gabou q a fizera	Também a Madre Joana Catarina, do mesmo convento, se gabou que a fizera.	Joanna Catherina, do mesmo convento, também se gabou de tê-la feito.	27.40623717328051
e eu Snor padrinho, tenho prezunssão de q mtas tem feito isto	E eu, Senhor Padrinho, tenho presunção de que muitas tem feito isto.	E eu, Snor padrinho, tenho a presunção de que você tem feito isso.	19.71584187923815
asim pesso a Vm pello amor de Ds q se governe isto no milhor modo q puder ser e pa q eu fique descanssada de q Vm esta entregue desta	Assim, peço a VM, pelo amor de Deus, que se governe isto no melhor modo que puder ser e para que eu fique descansada de que VM está entregue desta.	Assim, pese a você, o amor de Deus, q isso seja governado da melhor maneira que possa ser, e eu fico descansada de que você está entregue a esta.	13.759957472907214
espero q Vm me Responda Remetendo a Resposta a Snra dona Lionor minha Snra	Espero que VM me responda, remetendo a resposta à Senhora Dona Leonor, minha Senhora.	Espero que me responda remetendo a resposta para Sna. Dona Lionor, minha Sna.	14.880554366907562
eu fico pedindo a Ds gde a Vm mtos anos	Eu fico pedindo a Deus guarde a VM muitos anos.	Eu estou pedindo a Deus por muitos anos.	24.839003933972585
Sardoal dezasseis de marso mil e setesentos e vinte e dois	Sardoal, dezasseis de março, mil e setecentos e vinte e dois	Sardoal dezesseis de março mil e sessenta e vinte e dois	27.22179122549562
de Vm Afilhada e menor Criada	De VM afilhada e menor criada,	de Vm Afilhada e Menor Criada	6.870636427700047
Joanna da Me de Ds	Joana da Madre de Deus	Joanna da Me de Ds	12.703318703865365
Meo amo e Sr	Meu Amigo e Senhor,	Meo amo e Sr.	10.682175159905848
Ainda q VM me não quer dar o alivio de suas novas a minha amizade não pide tal discuido e assi lembresse VM de mim [...] com novas suas q bem sabe q não tem qm lhas dezeje com mais veras	ainda que VM me não quer dar o alívio de suas novas, a minha amizade não pide tal descuido e, assim, lembre-se VM de mim com novas suas, que bem sabe que não tem quem lhas deseje com mais veras.	Ainda que a VM não queira me dar o alívio de suas notícias, minha amizade não pede tal discussão e assim lembre a VM de mim [...] com novas suas q bem sabe q não tem q as deseje com mais verdades	19.409941270556097
