source	gold	translation	BLEU score
CAPITULO V .	CAPÍTULO V.	CAPITULO V.	55.03212081491043
Do Catarrho .	Do Catarro.	Do Catarrho.	34.66806371753173
Ainda que o catarrho naõ seja ordinariamente huma doença perigosa , com tudo naõ he menos verdade , que quando elle he desprezado, póde chegar a fazer-se tal ; en tenho conhecido Marinheiros , que morreraõ de tysica , em consequencia de hum catarrho desprezado .	Ainda que o catarro não seja ordinariamente uma doença perigosa, com tudo não é menos verdade, que quando ele é desprezado, pode chegar a fazer-se tal; eu tenho conhecido Marinheiros, que morreram de tísica, em consequência de um catarro desprezado.	Ainda que o catarro não seja ordinariamente uma doença perigosa, com tudo não é menos verdade, que quando ele é desprezado, pôde chegar a fazer-se tal; en tenho conhecido Marinheiros, que morreraõ de tysica, em consequência de um catarro desprezado.	78.99195018957349
Ordinariamente julga-se , que naõ he precizo fazer remedio algum para curar o catarrho , e que quanto mais remedios se lhe fazem , mais elle dura , mas isto he hum erro popular ; porque o catarrho he huma doença , que se trata como as outras , e que se cura com remedios apropriados á natureza do mal.	Ordinariamente julga-se, que não é preciso fazer remédio algum para curar o catarro, e que quanto mais remédios se lhe fazem, mais ele dura, mas isto é um erro popular; porque o catarro é uma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	Ordinariamente julga-se, que não é preciso fazer remédio algum para curar o catarro, e que enquanto mais remédios se lhe fazem, mais ele dura, mas isto é um erro popular; porquê o catarro é uma doença, que se trata como as outras, e que se cura com remédios apropriados à natureza do mal.	91.4389447605936
Os que os desprezaõ , ou que fazem outros contrarios , aprendem à sua custa , o quaõ caro lhe sahe o terem-se conduzido mal .	Os que os desprezam, ou que fazem outros contrários, aprendem à sua custa, o quão caro lhe sai o terem-se conduzido mal.	Os que os desprezam, ou que fazem outros contrários, aprendem há sua custa, o quaõ caro lhe sai o terem-se conduzido mal.	78.47574847738748
Ha entre os Marinheiros a respeito do catarrho huma preoccupaçaõ perigosa , que tem custado a vida a muitos delles ; julgaõ , que a sangria he contraria ao defluxos ; de forte que succede todos os dias , que hum Marinheiro atacado de hum defluxo de peito , de hum pleuriz , naõ se quer deixar sangrar , quando se lhe propõe , com o pretexto de que tem tosse , e que a sua doença naõ he senaõ hum defuxo ; eu tenho conhecido muitas victimas de similhante preoccupaçaõ ; eu concordaria com elles , que a sangria naõ he necessaria para curar hum simples defluxo , e que quando esta doença he benigna , ella se cura ordinariamente sem o soccorro da sangria; mas he falso , que a sangria seja contraria á cura do defluxo ; eu accrescento mesmo , que ella he muito necessaria em certas especies , principalmente quando a febre , a inflammaçaõ do peito , e a oppressaõ saõ fortes , quando a expectoraçaõ , ou sahida dos escarros se faz com dificuldade ; porque se se desprezar a sangria em taes circunstancias , faz-se a doença muitas vezes mais seria , e grave , muda de natureza ; e mata os doentes , o que succede muitissimas vezes ; o menor mal , que dahi se poderia seguir he , que hum tal catarrho , que se teria curado no espaço de sete para oito dias com huma , ou duas sangrias feitas quando era conveniente , dura muitas semanas sem contar os riscos , em que incorrem os doentes ; e com effeito ninguem ignora , que o defluxo seja huma accumulaçaõ inflammatoria das partes , aonde elle tem o seu assento : ora todos os Professores da Arte sabem , que a sangria he o unico , o mais seguro , e o mais prompto remedio para curar todas as especies de infammações ; logo póde-se , e deve-se mesmo sangrar no defluxo , quando a febre fôr violenta , quando esta durar mais de vinte e quatro horas , quando a tosse fôr forte , a pretas violenta , e quando o pulfo fôr cheio , e duro .	Há entre os Marinheiros a respeito do catarro uma preocupação perigosa, que tem custado a vida a muitos deles; julgam, que a sangria é contraria ao defluxos; de forte que sucede todos os dias, que um Marinheiro atacado de um defluxo de peito, de um pleuris, não se quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que a sua doença não é senão um defluxo; eu tenho conhecido muitas vítimas de semelhante preocupação; eu concordaria com eles, que a sangria não é necessária para curar um simples defluxo, e que quando esta doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas é falso, que a sangria seja contraria à cura do defluxo; eu acrescento mesmo, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos escarros se faz com dificuldade; porque se se desprezar a sangria em tais circunstancias, faz-se a doença muitas vezes mais séria, e grave, muda de natureza; e mata os doentes, o que sucede muitíssimas vezes; o menor mal, que daí se poderia seguir é, que um tal catarro, que se teria curado no espaço de sete para oito dias com uma, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja uma acumulação inflamatória das partes, aonde ele tem o seu assento: ora todos os Professores da Arte sabem, que a sangria é o único, o mais seguro, e o mais pronto remédio para curar todas as espécies de inflamações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando esta durar mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pulso for cheio, e duro.	Ha entre os Marinheiros a respeito do catarro uma preocupação perigosa, que tem custado a vida a muitos deles; julgaõ, que a sangria é contrária ao defluxos; de forte que sucede todos os dias, que um Marinheiro atacado de um defluxo de peito, de um pleuris, não se quer deixar sangrar, quando se lhe propõe, com o pretexto de que tem tosse, e que a sua doença não é senão um defuxo; eu tenho conhecido muitas victimas de semelhante preocupação; eu concordaria com eles, que a sangria não é necessária para curar um simples defluxo, e que quando está doença é benigna, ela se cura ordinariamente sem o socorro da sangria; mas é falso, que a sangria seja contrária à cura do defluxo; eu accrescento mesmo, que ela é muito necessária em certas espécies, principalmente quando a febre, a inflamação do peito, e a opressão são fortes, quando a expectoração, ou saída dos escarros se faz com dificuldade; porquê se se desprezar a sangria em tais circunstâncias, faz-se a doença muitas vezes mais seria, e grave, muda de natureza; e mata os doentes, o que sucede muitíssimas vezes; o menor mal, que daí se poderia seguir é, que um tal catarro, que se teria curado no espaço de sete para oito dias com uma, ou duas sangrias feitas quando era conveniente, dura muitas semanas sem contar os riscos, em que incorrem os doentes; e com efeito ninguém ignora, que o defluxo seja uma acumulação inflamatória das partes, aonde ele tem o seu assento: ora todos os Professores da Arte sabem, que a sangria é o único, o mais seguro, e o mais prompto remédio para curar todas as espécies de infammações; logo pode-se, e deve-se mesmo sangrar no defluxo, quando a febre for violenta, quando está durar mais de vinte e quatro horas, quando a tosse for forte, a pretas violenta, e quando o pulso for cheio, e duro.	90.86034635647
As especies de defluxo saõ tres ; a primeira ataca as partes que forraõ interiormente as ventas , o seio que occupa a parte inferior , e media do osso frontal , que se chama feio frontal , e outras duas cavidades , que estaõ entre os ossos da maxilla superior , que se chamaõ tambem feios maxillares , e este se chama defluxo do cerebro ; o segundo ataca o fundo da garganta ; o terceiro finalmente ataca a laringe , que he o canal , que vai da bocca acabar em o bofe , e se chama catarrho do peito ; a infammaçaõ communica-se muitas vezes de huma parte á outra , e algumas vezes ellas saõ atacadas todas ao mesmo tempo , o que faz o catarrho mais perigoso , e mais dificil de curar .	As espécies de defluxo são três; a primeira ataca as partes que forram interiormente as ventas, o seio que ocupa a parte inferior, e média do osso frontal, que se chama feio frontal, e outras duas cavidades, que estão entre os ossos da maxila superior, que se chamam também feios maxilares, e este se chama defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que é o canal, que vai da boca acabar em o bofe, e se chama catarro do peito; a inflamação comunica-se muitas vezes de uma parte à outra, e algumas vezes elas são atacadas todas ao mesmo tempo, o que faz o catarro mais perigoso, e mais difícil de curar.	As espécies de defluxo são três; a primeira ataca as partes que forraõ interiormente as ventas, o seio que ocupa a parte inferior, e media do osso frontal, que se chama feio frontal, e outras duas cavidades, que estão entre os ossos da maxilla superior, que se chamam também feios maxillares, e este se chama defluxo do cérebro; o segundo ataca o fundo da garganta; o terceiro finalmente ataca a laringe, que é o canal, que vai da boca acabar em o bofe, e se chama catarro do peito; a infammaçaõ communica-se muitas vezes de uma parte à outra, e algumas vezes elas são atacadas todas ao mesmo tempo, o que faz o catarro mais perigoso, e mais difícil de curar.	90.05260960245221
Se as alternativas do ár , a intemperança das estações , e a inconstancìa dos tempos produzem frequentemente catarrhos entre os que habitaõ as Cidades , com quanta maior razaõ os Marinheiros , que continuamente estaõ expostos a todas as intemperanças do ár , e que mudaõ , por assim dizer , todos os dias de clima , deveráõ estar sujeitos aos defluxos ; he verdade , que esta doença raras vezes he mortal ; mas se se despreza , como eu já disse , e se se naõ trata , como deve ser , entaõ póde vir a ser mortal , degenerando em defluxo de peito , em pleuriz , ou em peripneumonia .	Se as alternativas do ar, a intemperança das estações, e a inconstância dos tempos produzem frequentemente catarros entre os que habitam as Cidades, com quanta maior razão os Marinheiros, que continuamente estão expostos a todas as intemperanças do ar, e que mudam, por assim dizer, todos os dias de clima, deverão estar sujeitos aos defluxos; é verdade, que esta doença raras vezes é mortal; mas se se despreza, como eu já disse, e se se não trata, como deve ser, então pode vir a ser mortal, degenerando em defluxo de peito, em pleuris, ou em peripneumonia.	Se as alternativas do ar, a intemperança das estações, e a inconstancìa dos tempos produzem frequentemente catarros entre os que habitaõ as Cidades, com quanta maior razão os Marinheiros, que continuamente estão expostos a todas as intemperanças do ar, e que mudaõ, por assim dizer, todos os dias de clima, deveráõ estár sujeitos aos defluxos; é verdade, que está doença raras vezes é mortal; mas se se despreza, como eu já disse, e se se não trata, como deve ser, então pôde vir a ser mortal, degenerando em defluxo de peito, em pleuris, ou em peripneumonia.	85.62947264766004
A causa mais ordinaria dos catarrhos he huma transpiraçaõ embaraçada , ou diminuida , hum sangue disposto para a inflammaçaõ , que produz o defluxo de peito , e as outras doenças , que reinaõ ao mesmo tempo , que o defluxo ; e todos os dias se está observando ; que os symptomas , que caracterizaõ o defluxo , saõ pouca diferentes dos que acompanhaõ estas outras doenças .	A causa mais ordinária dos catarros é uma transpiração embaraçada, ou diminuída, um sangue disposto para a inflamação, que produz o defluxo de peito, e as outras doenças, que reinam ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracterizam o defluxo, são pouca diferentes dos que acompanham estas outras doenças.	A causa mais ordinária dos catarros é uma transpiração embaraçada, ou diminuida, um sangue disposto para a inflamação, que produz o defluxo de peito, e as outras doença, que reinaõ ao mesmo tempo, que o defluxo; e todos os dias se está observando; que os sintomas, que caracterizam o defluxo, são pouca diferentes dos que acompanham estás outras doença.	84.02337824721948
E com effeito elle he precedido , como ellas de tremor , de febre , de dôr de cabeca , de difficuldade de respirar ; a tosse vem ao depois ; ella he secca nos primeiros dias , e naõ se faz expectoraçaõ alguma de escarros ; pouco a pouco elles se vaõ formando , vaõ-se fazer do de hum dia para outro brancos , mais grossos , e sahem com menos difficuldade : todos os symptomas se moderaõ entaõ , se diminuem , e diz-se , que o catarrho está cozido .	E com efeito ele é precedido, como elas de tremor, de febre, de dor de cabeça, de dificuldade de respirar; a tosse vem ao depois; ela é seca nos primeiros dias, e não se faz expectoração alguma de escarros; pouco a pouco eles se vão formando, vão-se fazer do de um dia para outro brancos, mais grossos, e saem com menos dificuldade: todos os sintomas se moderam então, se diminuem, e diz-se, que o catarro está cozido.	E com efeito ele é precedido, como elas de tremor, de febre, de expô-los de cabeca, de difficuldade de respirar; a tosse vem ao depois; ela é seca nos primeiros dias, e não se faz expectoração alguma de escarros; pouco a pouco eles se vão formando, vaõ-se fazer do de um dia para outro brancos, mais grossos, e saem com menos difficuldade: todos os sintomas se moderaõ então, se diminuim, e diz-se, que o catarro está cozido.	81.52719876056076
Taes saõ pois os passos , e a marcha , que faz hum catarrho do peito , que ataca a superficie do bofe .	Tais são pois os passos, e a marcha, que faz um catarro do peito, que ataca a superfície do bofe.	Taes são pois os passos, e a marcha, que faz um catarro do peito, que ataca a superficie do bofe.	83.95876230925758
Naõ he mesmo couza rara , que nesta especie os doentes tenhaõ pontadas , e dóres no lado ; ainda que na verdade ellas saõ mais leves , duraõ menos , do que no pleuriz verdadeiro .	Não é mesmo coisa rara, que nesta espécie os doentes tenham pontadas, e dores no lado; ainda que na verdade elas são mais leves, duram menos, do que no pleuris verdadeiro.	Naõ é mesmo coisa rara, que nesta espécie os doentes tenham pontadas, e dóres no lado; ainda que na verdade elas são mais leves, duraõ menos, do que no pleuris verdadeiro.	82.59844401203375
No defluxo , que ataca a guéla , e o fundo da garganta , todas estas partes estaõ inchadas ; os doentes engolem , e respiraõ com trabalho , até que ellas se desembaracem .	No defluxo, que ataca a goela, e o fundo da garganta, todas estas partes estão inchadas; os doentes engolem, e respiram com trabalho, até que elas se desembaracem.	No defluxo, que ataca a guéla, e o fundo da garganta, todas estás partes estão inchadas; os doentes engolem, e respiram com trabalho, até que elas se desembaracem.	84.52785147119853
Naquelle que tem o seu assento nos feios frontaes , ou maxillares , e na membrana , que forra as ventas , naõ se assoaõ os doentes nos principios , senaõ tirando do nariz huma agoa clara , que he muito acre , que irrita as ventas , fa-las inchar , e faz muitas vezes rebentar o beiço superior ; elles perdem o cheiro , o gosto , e até mesmo o appetite , quando este humor passando pela bocca , irrita todo o caral por onde passa o comer , e o beber , e desce para o estomago , de naõ está livre de experimentar a sua impressaõ .	Naquele que tem o seu assento nos seios frontais, ou maxilares, e na membrana, que forra as ventas, não se assoam os doentes nos princípios, senão tirando do nariz uma água clara, que é muito acre, que irrita as ventas, fá-las inchar, e faz muitas vezes rebentar o beiço superior; eles perdem o cheiro, o gosto, e até mesmo o apetite, quando este humor passando pela boca, irrita todo o canal por onde passa o comer, e o beber, e desce para o estômago, de não está livre de experimentar a sua impressão.	Naquelle que tem o seu assento nos feios frontaes, ou maxillares, e na membrana, que forra as ventas, não se assoaõ os doentes nos princípios, senão tirando do nariz uma água clara, que é muito acre, que irrita as ventas, fá-las inchar, e faz muitas vezes rebentar o beiço superior; eles perdem o cheiro, o gosto, e até mesmo o apetite, quando este humor passando pela boca, irrita todo o caral por onde passa o comer, e o beber, e desce para o estômago, de não está livre de experimentar a sua impressaõ.	87.52691333554532
Como o catarrho tem por causa as mesmas que produzem a esquinencia , o pleuriz , a peripneumonia , e o defluxo do peito , por isso he precizo , quando elle he violento , combate-lo com  os mesmos remedios , que eu ja indiquei , quando se tratou destas doenças ; e fazer a pezar da preoccupaçaõ dos Marinheiros huma sangria , e mesmo duas no braço , princimente se os que estaõ atacados de defluxo forem moços , e robustos , se tiverem grandes dôres de cabeça , se a tosse fôr forte , se houver muita dificuldade em engulir , e em respirar , e sobre tudo se o pulso fôr cheio , e duro , e quando a febre durar mais de vinte e quatro horas .	Como o catarro tem por causa as mesmas que produzem a esquinência, o pleuris, a peripneumonia, e o defluxo do peito, por isso é preciso, quando ele é violento, combate-lo com  os mesmos remédios, que eu já indiquei, quando se tratou destas doenças; e fazer apesar da preocupação dos Marinheiros uma sangria, e mesmo duas no braço, principalmente se os que estão atacados de defluxo forem moços, e robustos, se tiverem grandes dores de cabeça, se a tosse for forte, se houver muita dificuldade em engolir, e em respirar, e sobretudo se o pulso for cheio, e duro, e quando a febre durar mais de vinte e quatro horas.	Como o catarro tem por causa as mesmas que produzem a esquinência, o pleuris, a peripneumonia, e o defluxo do peito, por isso é preciso, quando ele é violento, combate-lo com os mesmos remédios, que eu já indiquei, quando se tratou destas doença; e fazer a pesar da preocupação dos Marinheiros uma sangria, e mesmo duas no braço, princimente se os que estão atacados de defluxo forem moços, e robustos, se tiverem grandes dores de cabeça, se a tosse for forte, se houver muita dificuldade em engulir, e em respirar, e sobre tudo se o pulso for cheio, e duro, e quando a febre durar mais de vinte e quatro horas.	88.65501612316321
Estas sangrias abbreviaõ notavelmente a duraçaõ do catarrho , e fazem , que os seus symptomas sejaõ menos incómmodos .	Estas sangrias abreviam notavelmente a duração do catarro, e fazem, que os seus sintomas sejam menos incômodos.	Estas sangrias abbreviaõ notavelmente a duração do catarro, e fazem, que os seus sintomas sejam menos incômodos.	87.39351325046809
Beberaõ com abundancia da agoa melada , ou de alguma das tisanas indicadas na formula , ou receita do N. 5. ; tomaraõ todas as noites hum banha aos pés com agoa quente , conservar-se-haõ bem cobertos , naõ temaráô alimento algum sólido em todo o tempo , que durar a febre ; e depois se tiver cessado , naõ viviraõ senaõ de caldo , ovos frescos , ou outros alimentos faceis de digerir : á noite tomaráõ em forma de chá , huma tigela da infusaõ das flores de papoula , ou das folhas seccas de veronica macha ; o que facilitará a transpiraçaõ , e o suôr : a infusaõ das vulnerarias de Suiffia , e a das flores de sabugo seccas tomadas tambem em forma de chá , saõ tambem muito salutiferas .	Beberam com abundância da água melada, ou de alguma das tisanas indicadas na fórmula, ou receita do N. 5.; tomarão todas as noites um banha aos pés com água quente, conservar-se-ão bem cobertos, não tomarão alimento algum sólido em todo o tempo, que durar a febre; e depois se tiver cessado, não viverão senão de caldo, ovos frescos, ou outros alimentos fáceis de digerir: á noite tomarão em forma de chá, uma tigela da infusão das flores de papoula, ou das folhas secas de verônica macha; o que facilitará a transpiração, e o suor: a infusão das vulnerárias de Suíça, e a das flores de sabugo secas tomadas também em forma de chá, são também muito salutíferas.	Beberaõ com abundância da água melada, ou de alguma das tisanas indicadas na fórmula, ou receita do N. 5.; tomaraõ todas as noites um banha aos pés com água quente, conservar-se-ão bem cobertos, não temaráô alimento algum sólido em todo o tempo, que durar a febre; e depois se tiver cessado, não viviraõ senão de caldo, ovos frescos, ou outros alimentos faceis de digerir: à noite tomarão em forma de chá, uma tigela da infusão das flores de papoula, ou das folhas secas de veronica macha; o que facilitará a transpiração, e o suor: a infusão das vulnerárias de Suiffia, e a das flores de sabugo secas tomadas também em forma de chá, são também muito salutíferas.	86.20062055192555
Estes pequenos remedios bastaõ ordinariamente para curar o defluxo em poucos dias .	Estes pequenos remédios bastam ordinariamente para curar o defluxo em poucos dias.	Estes pequenos remédios bastão ordinariamente para curar o defluxo em poucos dias.	76.11606003349888
