source	gold	translation	BLEU score
6º. A parochia esta cituada em hum dezerto, sem mais vizinhança, que a do parocho, sacristão, e outro vezinho; e nestes tres fogos se contão somente dés pessoas, entrando nesta soma homens, mulheres, e meninos.	6º A paróquia está situada em um deserto, sem mais vizinhança, que a do pároco, sacristão e outro vizinho; e nestes três fogos se contam somente dez pessoas, entrando nesta soma homens, mulheres, e meninos.	6º. A parochia está cituada em um dezerto, sem mais vizinhança, que a do parocho, sacristão, e outro vezinho; e nestes três fogos se contão somente dés pessoas, entrando nesta soma homens, mulheres, e meninos.	54.618901004663904
7º. O seo orago he Nossa Senhora das Ciladas, de cujo nome a echemologia he, porque / seguindo a tradição / no tempo dos sarracemos na serra de Coroados, ou Monte de Carvão os christãos armárão humas ciladas, e fizerão emboscadas para captivar hum grande comboyo de vitualhos, petrexos de guerra, e mantimentos, que se encaminhava para áquelles; e no tal conflito invocarão estes o patrocinio de Nossa Senhora, fazendo voto de lhe fazer huma ermida, se sahissem com victoria nas suas ciladas: e succedeo, que / favorecendo- os Nossa Senhora / captivárão a preza, como intentárão.	7º O seu orago é Nossa Senhora das Ciladas, de cujo nome a etimologia é, porque (segundo a tradição) no tempo dos Sarracenos na serra de Coroados, ou montes de carvão os cristãos armaram umas ciladas, e fizeram emboscadas para cativar um grande comboio de vitualhas, apetrechos de guerra, e mantimentos, que se encaminhava para aqueles; e no tal conflito invocaram estes o patrocínio de Nossa Senhora, fazendo voto de lhe fazer uma ermida, se saíssem com vitória nas suas ciladas: e sucedeu, que (favorecendo-os Nossa Senhora) cativaram a presa, como intentaram.	7º. O seo orago é Nossa Senhora das Ciladas, de cujo nome a echemologia é, porquê/ seguindo a tradição/ no tempo dos sarracemos na serra de Coroados, ou Monte de Carvão os christãos armárão umas ciladas, e fizerão emboscadas para captivar um grande comboyo de vitualhos, petrexos de guerra, e mantimentos, que se encaminhava para áquelles; e no tal conflito invocarão estes o patrocinio de Nossa Senhora, fazendo voto de lhe fazer uma ermida, se saíssem com victoria nas suas ciladas: e sucedeu, que/ favorecendo- os Nossa Senhora/ captivárão a preza, como intentárão.	49.51053180291295
E fizerão huma ermida pequena a Nossa Senhora com o singular titulo das Ciladas.	E fizeram uma ermida pequena a Nossa Senhora com o singular título das Ciladas.	E fizerão uma ermida pequena a Nossa Senhora com o singular titulo das Ciladas.	66.06328636027618
Esta jgreja por tres vezes tem sido acrescentada, o que bem se conhecia dos alicerces da mesma, quando no mês de Julho de 1748 lhe desmanchey as paredes, e alicerces para efeyto de a fabriar de aboboda, a qual obra principiey, e consumey de esmollas, que os —- pedi, e a juntey nesta freguezia, e suas vezinhanças pelo amor de Deos, e da mesma Senhora.	Esta igreja por três vezes tem sido acrescentada, o que bem se conhecia dos alicerces da mesma, quando no mês de Julho de 1748 lhe desmanchei as paredes, e alicerces para efeito de a fabricar de abóboda, a qual obra principiei, e consumei de esmolas, que ostiatim pedi, e ajuntei nesta freguesia, e suas vizinhanças pelo amor de Deus, e da mesma Senhora.	Esta jgreja por três vezes tem sido acrescentada, o que bem se conhecia dos alicerces da mesma, quando no mês de Julho de 1748 lhe desmanchey as paredes, e alicerces para efeyto de a fabriar de aboboda, a qual obra principiey, e consumey de esmollas, que os —- pedi, e a juntey nesta freguezia, e suas vezinhanças pelo amor de Deos, e da mesma Senhora.	56.06157700756465
Tem a jgreja huma só navem, e abobada de berco: antigamente tinha seis altares; porem quando a reedifiquey, lhe ficârão somente tres altares, porque, sendo jgreja pobre, não podia bem paramentar santos, como tinha.	Tem a igreja uma só nave, e abóbada de berço: antigamente tinha seis altares; porém quando a reedifiquei, lhe ficaram somente três altares, porque, sendo igreja pobre, não podia bem paramentar tantos, como tinha.	Tem a jgreja uma só navem, e abóbada de berco: antigamente tinha seis altares; porem quando a reedifiquey, lhe ficârão somente três altares, porquê, sendo jgreja pobre, não podia bem paramentar santos, como tinha.	43.164307469779224
E por este modo tem tres a saber o altar mayor, em cujo trono esta a jmagem de Nossa Senhora das Ciladas, e nas banquetas dos lados estão as jmágens de São Pedro Appostolo, e de São João Baptista: hum dos altares collateraes da parte direyta he de Nossa Senhora do Rozario, em cujo trono se venera a jmágem da mesma Senhora, e nas banquetas dos lados estão as jmágens de Nossa Senhora dos Milagres, e de Santo Antonio de Lisboa: o outro altar collateral he das Almas, em cujo respaldo se venera huma jmágem de Jezus crucificado, e junto ao calvario da crus estão pintadas duas almas do purgatorio pedindo á soberana magestade o alivio daquellas penas; e aos fieis os sulfragios para o referido fim.	E por este modo tem três a saber o altar maior, em cujo trono está a imagem de Nossa Senhora das Ciladas, e nas banquetas dos lados estão as imagens de São Pedro Apóstolo, e de São João Batista: um dos altares colaterais da parte direita é de Nossa Senhora do Rosário, em cujo trono se venera a imagem da mesma Senhora, e nas banquetas dos lados estão as imagens de Nossa Senhora dos Milagres, e de Santo António de Lisboa: o outro altar colateral é das Almas, em cujo respaldo se venera uma imagem de Jesus crucificado, e junto ao calvário da cruz estão pintadas duas almas do Purgatório pedindo à soberana Majestade o alívio daquelas penas; e aos fiéis os sufrágios para o referido fim.	E por este modo tem três a saber o altar maior, em cujo trono está a jmagem de Nossa Senhora das Ciladas, e nas banquetas dos lados estão as jmágens de São Pedro Appostolo, e de São João Baptista: um dos altares collateraes da parte direyta é de Nossa Senhora do Rozario, em cujo trono se venera a jmágem da mesma Senhora, e nas banquetas dos lados estão as jmágens de Nossa Senhora dos Milagres, e de Santo Antonio de Lisboa: o outro altar collateral é das Almas, em cujo respaldo se venera uma jmágem de Jezus crucificado, e junto ao calvario da crus estão pintadas duas almas do purgatorio pedindo à soberana magestade o alívio daquelas penas; e aos fieis os sulfragios para o referido fim.	65.7347771170473
Nestes dous altares há duas jrmandades; huma do Rozario, e outra das Almas, e ambos ecelesiasticas, erectas authoritates ordinari.	Nestes dois altares há duas Irmandades; uma do Rosário, e outra das Almas, e ambas eclesiásticas, erectas authoritate ordinarii.	Nestes dois altares há duas jrmandades; uma do Rozario, e outra das Almas, e ambos ecelesiasticas, erectas authoritates ordinari.	47.17991357336538
8º. O parocho he cura, e em algum tempo foy da aprezentação da Meza da Conciencia, assim como ainda he a jgreja matriz de Vila Viçoza.	8º O pároco é cura, e em algum tempo foi da apresentação da Mesa da Consciência, assim como ainda é a igreja matriz de Vila Viçosa, e a igreja de São Bartolomeu freguesia da mesma vila.	8º. O parocho é cura, e em algum tempo foi da aprezentação da Meza da Conciencia, assim como ainda é a jgreja matriz de Vila Viçoza.	34.9571182243666
E há tradição, que sendo esta jgreja curada pelos freyres de São Bento de Aviz, em tempo de guerras por falta de menistros , que havia na dita ordem, ou talves por medo do jnimigo se pôz vaga, e sendo provida pelo prelado ordinario, ficou mesmo intreor na posse de a aprezentar: e nestes termos he da aprezentação de Vossa Excelencia Reverendissima, e senhores Arcebispos metropolitanos de Evora, et sede vaccante he da aprezentação do Reverendissimo Cabbido da mesma Sée [sic].	E há tradição, que sendo esta igreja curada pelos freires de São Bento de Aviz, em tempo de guerras por falta de ministros, que havia na dita ordem, ou talvez por medo do inimigo se pôs vaga, e sendo provida pelo Prelado Ordinário, ficou o mesmo intruso na posse a apresentar: e nestes termos é da apresentação de Vossa Excelência Reverendíssima, e Senhores Arcebispos Metropolitanos de Évora, et sede vacante é da apresentação do Reverendíssimo Cabido da mesma Sé.	E há tradição, que sendo está jgreja curada pelos freyres de São Bento de Aviz, em tempo de guerras por falta de menistros, que havia na dita ordem, ou talves por medo do jnimigo se pôz vaga, e sendo provida pelo prelado ordinário, ficou mesmo intreor na posse de a aprezentar: e nestes termos é da aprezentação de Vossa Excelencia Reverendissima, e senhores Arcebispos metropolitanos de Evora, et sede vaccante é da aprezentação do Reverendissimo Cabbido da mesma Sée [sic].	42.60562222750048
A sobredita tradição se confirma; porque athe ao anno de 1749 se conservou a estillo da serem aprezentados os sáchristães desta jgreja pelo Reverendo Juiz da Ordem da villa de Estremoz, e a ultima aprezentação foy em João Sutil feyta pelo Reverendo Doutor Manoel da Costa, Juiz da ordem de Avis, e prior da matriz da villa de Estremoz, e dentro de seis mezes erão obrigados os taes sacristães tirar a sua provizão da Meza da Conciencia.	A sobredita tradição se confirma; porque até ao ano de 1749 se conservou a estilo de serem apresentados os sacristães desta igreja pelo Reverendo Juiz da Ordem da vila de Estremoz, e a última apresentação foi em João Sutil feita pelo Reverendo Doutor Manuel da Costa, Juiz da Ordem de Avis, e Prior da Matriz da vila de Estremoz, e dentro de seis meses eram obrigados os tais sacristães tirar a sua provizão da Mesa da Consciência.	A sobredita tradição se confirma; porquê athe ao ano de 1749 se conservou a estillo da serem aprezentados os sáchristães desta jgreja pelo Reverendo Juiz da Ordem da villa de Estremoz, e a ultima aprezentação foi em João Sutil feyta pelo Reverendo Doutor Manoel da Costa, Juiz da ordem de Avis, e prior da matriz da villa de Estremoz, e dentro de seis meses compaixão obrigados os tais sacristães tirar a sua provizão da Meza da Conciencia.	51.090963437387884
Jtem porque os parochos de campo das freguezias extramuros destas terras vezinhas pagavão ao sobredito juiz da Ordem dous alqueres de trigo cada um anno duas galinhas, e lhe chamávão reconhecença2; porem eu nunca lhe paguey nada em dezasete annos, que vou contando de parocho, e os sáchristães, que tem havido ha nove annos a esta parte são providos pelo Excelentissimo e Reverendissimo Senhor Arcebispo.	Item porque os párocos de campo das freguesias extramuros destas terras vizinhas pagavam ao sobredito Juiz da Ordem dois alqueires de trigo cada um todos os anos, e os sacristães lhe pagavam em cada um ano duas galinhas, e lhe chamavam Reconhecença; porém eu nunca lhe paguei nada em dezasete anos, que vou contando de pároco, e os sacristães, que tem havido há nove anos a esta parte são providos pelo Excelentíssimo e Reverendíssimo Senhor Arcebispo.	Jtem porquê os parochos de campo das freguezias extramuros destas terras vezinhas pagavão ao sobredito juiz da Ordem dois alqueres de trigo cada um ano duas galinhas, e lhe chamávão reconhecença2; porem eu nunca lhe paguey nada em dezasete anos, que vou contando de parocho, e os sáchristães, que tem havido há nove anos a está parte são providos pelo Excelentissimo e Reverendissimo Senhor Arcebispo.	39.60049195959057
Assim o parocho, como o sáchristão sam obrigados a tirar, e reformar a sua provizão por dia de São João de cada hum anno.	Assim o pároco, como o sacristão são obrigados a tirar, e reformar a sua provisão por dia de São João de cada um ano.	Assim o parocho, como o sáchristão são obrigados a tirar, e reformar a sua provizão por dia de São João de cada um ano.	69.77567595947366
Os freguezes desta freguezia pagão por sua destribuição, ou repartição de bollo, ou sustentação do parocho quatro moyos de trigo, e dous moyos de çevada em cada hum anno vencidos por dia de São João ao cura.	Os fregueses desta freguesia pagam por sua distribuição, ou repartição de bolo, ou sustentação do pároco quatro moios de trigo, e dois moios de cevada em cada um ano vencidos, por dia de São João ao Cura.	Os freguezes desta freguezia pagão por sua destribuição, ou repartição de bollo, ou sustentação do parocho quatro moyos de trigo, e dois moyos de çevada em cada um ano vencidos por dia de São João ao cura.	41.32139715253794
Aos interrogatorios 9º, 10º, 11º, 12º nada.	Aos interrogatórios 9º, 10º, 11º, 12º nada.	Aos interrogatorios 9º, 10º, 11º, 12º nada.	80.70557274927978
13º. Dentro desta freguezia havião em algum tempo duas ermidas; a saber huma na erdade do Pumar d´El Rey, cujo orago era São Placido, e vulgarmente se chamava = São Payo de Cabedal = por estar cituada no termo da cidade de Elvas junto a huma erdade chamada = Torre de Cabedal =, da qual todo aquele citio em circuito herdou o appelido de = Covas de Cabedal =, o qual appelido segundo a tradição nasceo, de que antigamente assistia na dita torre, ou herdade seo dono, o qual possuhia grandes cabedais.	13º Dentro desta freguesia havia em algum tempo duas ermidas; a saber uma na herdade do Pomar d´El-Rei, cujo orago era São Plácido, e vulgarmente se chamava = São Paio de Cabedal = por estar situada no termo da cidade de Elvas junto de uma herdade chamada = Torre de Cabedal = da qual todo aquele sítio em circuito herdou o apelido de = Covas de Cabedal = o qual apelido segundo a tradição nasceu, de que antigamente assistia na dita Torre, ou herdade seu dono, o qual possuía grandes cabedais.	13º. Dentro desta freguezia havião em algum tempo duas ermidas; a saber uma na erdade do Pumar d´El Rey, cujo orago era São Placido, e vulgarmente se chamava= São Payo de Cabedal= por estár cituada no termo da cidade de Elvas junto a uma erdade chamada= Torre de Cabedal=, da qual todo aquele citio em circuito herdou o appelido de= Covas de Cabedal=, o qual appelido segundo a tradição nasceo, de que antigamente assistia na dita torre, ou herdade seo dono, o qual possuhia grandes cabedais.	50.82873746165623
A outra hermida estava cituada na herdade das Pegas do termo de Jurumenha, que he dos Freyres e Andrades, cujo orago, dizem huns, que era São Sebastião, e que era Gomes, affirmão outros.	A outra ermida estava situada na Herdade das Pegas do termo de Juromenha, que é dos Freires e Andrades, cujo orago, dizem uns, que era São Sebastião, e que era São Gomes, afirmam outros.	A outra hermida estava cituada na herdade das Pegas do termo de Jurumenha, que é dos Freyres e Andrades, cujo orago, dizem uns, que era São Sebastião, e que era Gomes, affirmão outros.	59.34005625635414
