source	gold	translation	BLEU score
Avizo a V Pte q Noticie aos inquizidores q eu tenho dado a alma ao diabo, e q dezespero e aRenego de Ds Padre de Ds filho, e de Deos espyrito Santo, e de qtos Santos tem o Ceo; e q somte venero, amo, e adoro a Lucifer por Senhor de minha vida, e alma:	Aviso a Vossa Paternidade que noticie aos inquisidores que eu tenho dado a alma ao diabo e que desespero e arrenego de Deus, padre de Deus Filho e de Deus Espírito Santo e de quantos santos tem o céu, e que somente venero, amo e adoro a Lúcifer por senhor de minha vida e alma.	Avizo a V Pte que Noticie aos inquizidores que eu tenho dado a alma ao diabo, e que dezespero e aRenego de Ds Padre de Ds filho, e de Deos espyrito Santo, e de qtos Santos tem o Ceo; e que somte venero, amo, e adoro a Lucifer por Senhor de minha vida, e alma:	22.854031449034093
e isto Repito, digo, e comfesso todos os instantes sem temor algũ desse Ds a qm athe gora Cegamte adorava pa meu mal;	E isto repito, digo e confesso todos os instantes, sem temor algum desse Deus, a quem até agora cegamente adorava para meu mal.	e isto Repito, digo, e comfesso todos os instantes sem temor algumaũ desse Ds a quem athe gora Cegamte adorava pa meu mal;	10.34888513994061
e porq desta mudança foy cauza o Pe Mel thomas, elle tenha o premio q dos infernaes spiritos espero	E porque desta mudança foi causa o padre Manuel Tomás, ele tenha o prémio que dos infernais espíritos espero.	e porq desta mudança foi cauza o Pe Mel thomas, ele tenha o premio que dos infernaes spiritos espero	19.323033984562095
faso esta deliga por papel, porq a prizão me impozibilita pa a fazer eu proprio; e não Remeto as noticias a inquizidores algũ porq quero q seja V Pte obrigado a saber os Comfisados q tem, e a qm os emtrega; q infalivelmte me parese q está obrigado a dar pte deste cazo ao santo oficio,	Faço esta diligência por papel, porque a prisão me impossibilita para a fazer eu próprio, e não remeto as notícias a inquisidores algum porque quero que seja Vossa Paternidade obrigado a saber os confessados que tem e a quem os entrega; que infalivelmente me parece que está obrigado a dar parte deste caso ao Santo Ofício.	faso está deliga por papel, porq a prizão me impozibilita pa a fazer eu próprio; e não Remeto as notícias a inquizidores algumaũ porq quero que seja V Pte obrigado a saber os Comfisados que tem, e a quem os emtrega; que infalivelmte me parese que está obrigado a dar pte deste cazo ao santo oficio,	25.43755690483985
e qdo o não faça prontisimamte creminarei a V Pte por consentidor das indozlencias com q o Pe Mel Thomas machado domina a Caza de Mariana da Silva, sem o atemorizar a Vista de Coatro Clerigos q por semelhantes Couzas Sahirão este a-cto de fé.	E, quando o não faça prontissimamente, criminarei a Vossa Paternidade por consentidor das indulgências com que o padre Manuel Tomás Machado domina a casa de Mariana da Silva, sem o atemorizar à vista de quatro clérigos que, por semelhantes coisas, saíram este ato de fé.	e qdo o não faça prontisimamte creminarei a V Pte por consentidor das indozlencias com que o Pe Mel Thomas machado domina a Caza de Mariana da Silva, sem o atemorizar a Vista de Coatro Clerigos que por semelhantes Couzas Sahirão este a-cto de fé.	25.078571024635842
Não Repare na dezordem da escripta, q a pena com q fico não dá mais lugar q sertificarlhe q qqm dis isto he	Não repare na desordem da escrita, que a pena com que fico não dá mais lugar que certificar-lhe que quem diz isto é,	Não Repare na dezordem da escripta, que a pena com que fico não dá mais lugar que sertificarlhe que qqm dis isto é	50.40030892310998
Antonio da Cruz e Silva	António da Cruz e Silva	Antonio da Cruz e Silva	66.87403049764218
Meu padrinho e mto meu Snor	Meu Padrinho e muito meu Senhor.	Meu padrinho e mto meu Snor	9.042266054940777
q Vm Logre saude	Que VM logre saúde.	que Vm Logre saúde	12.44023474812678
mto filis o estimarei Como quem a todos Vmces [...] he tão obrigada e devedora pella grandioza esmola q Vmces fizerão a Meu Irmão e pellos continos favores que de Vmces sempre resebemos	Muito feliz o estimarei, como quem a todos VMs é tão obrigada e devedora pela grandiosa esmola que VMs fizeram a meu irmão e pelos contínuos favores que de VMs sempre recebemos.	mto filis o estimarei Como quem a todos Vmces [...] é tão obrigada e devedora pella grandioza esmola que Vmces fizerão a Meu Irmão e pellos continos favores que de Vmces sempre resebemos	18.60696769771304
