por	pob
Depois que o doente tiver observado por dous , ou tres dias o regime humectante , capaz de diluir , e fazer despegar as materias corruptas , que se achaõ no estomago , e nos intestinos , ou tripas , aproveitar-se-ha entaõ cada hum do socego , que se segue a hum crescimento , para dar o vomitorio do N. 21. , ou o do N. 11. , que se deverá preferir se houver diarrhéa ; estes remedios estaõ tanto mais bem indicados , quanto o doente tem ordinariamente nauseas , desejos de vomitar , a bocca amargosa , a lingua pastacea , e saburrosa ; provecar-se-ha a acçaõ do vomitorio com huma larga bebida de agoa quente , de que se beberaõ muitos cópos depois de cada vez , que se tiver vomitado .	Depois que o doente tiver observado por dois, ou três dias o regime umectante, capaz de diluir, e fazer despegar as matérias corruptas, que se acham no estômago, e nos intestinos, ou tripas, aproveitar-se-á então cada um do sossego, que se segue a um crescimento, para dar o vomitório do N. 21., ou o do N. 11., que se deverá preferir se houver diarreia; estes remédios estão tanto mais bem indicados, quanto o doente tem ordinariamente náuseas, desejos de vomitar, a boca amargosa, a língua pastacea, e saburrosa; provocar-se-á a ação do vomitório com uma larga bebida de água quente, de que se beberão muitos copos depois de cada vez, que se tiver vomitado.
9 . Da virtude admiravel que tem o oleo de Vitriolo , & de enxofre para rebater a podridão dos humores , extinguir o ardor da febre , tirar o fastio , impedir os vomitos , confortar o estomago , & matar as lombrigas , escrevèraõ gravissimos Authores , hum dos quaes foi Schrodero ; diz elle , que o oleo de Vitriolo , & de enxofre tem as mesmas virtudes , & que saõ utilissimos contra a peste , & contra a asthma , & para mil queixas outras .	9. Da virtude admirável que tem o óleo de Vitríolo, e de enxofre para rebater a podridão dos humores, extinguir o ardor da febre, tirar o fastio, impedir os vômitos, confortar o estômago, e matar as lombrigas, escreveram gravíssimos Autores, um dos quais foi Schrodero; diz ele, que o óleo de Vitríolo, e de enxofre tem as mesmas virtudes, e que são utilíssimos contra a peste, e contra a asma, e para mil queixas outras.
Pode-se fazer esta experiencia sobre a cabeça de hum homem saõ , e logo ficará cada hum convencido , que estes animaes contrahiráõ tanto do máo cheiro em hum igual espaço de tempo , como sobre a de hum doente .	Pode-se fazer esta experiência sobre a cabeça de um homem são, e logo ficará cada um convencido, que estes animais contrairão tanto do mau cheiro em um igual espaço de tempo, como sobre a de um doente.
E pouco mais acima diz o mesmo Author :  O vigor no calor dos pombos mortos daquelle infante persuade a todos os Medicos , que para attrahir o veneno se devem antepôr a todos os animaes .	E pouco mais acima diz o mesmo Autor: O vigor no calor dos pombos mortos daquele infante persuade a todos os Médicos, que para atrair o veneno se devem antepôr a todos os animais.
CAPITULO XVII.	CAPÍTULO XVII.
3 . E porque hum só exemplo , aindaque succedido em hum Principe , poderá naõ bastar para convencer a incredulidade dos desaffeiçoados , apontarei dous mais , que em termos identicos me succederaõ no Convento de Santa Clara .	3. E porque um só exemplo, ainda que sucedido em um Príncipe, poderá não bastar para convencer a incredulidade dos desafeiçoados, apontarei dois mais, que em termos idênticos me sucederam no Convento de Santa Clara.
O tratamento he quasi o mesmo , que o das febres podres .	O tratamento é quase o mesmo, que o das febres podres.
Cordial fresco , e purgativo , como , e quando se devem dar .	Cordial fresco, e purgativo, como, e quando se devem dar.
E porque alguem naõ cuide que isto , he encarecimento , referirei tres casos , que me passaraõ pelas mãos , com que confirmei a verdade , em que se funda o meu conselho .	E porque alguém não cuide que isto, é encarecimento, referirei três casos, que me passaram pelas mãos, com que confirmei a verdade, em que se funda o meu conselho.
Da Peripneumonia , e do Pleuriz .	Da Peripneumonia, e do Pleuris.
CAPITULO XLIV .	CAPÍTULO XLIV.
Deve-se conservar com todo o cuidado a evacuaçaõ , e a suppuraçaõ destes vesicatorios , supposto , que elles tenhaõ mordido , e formado boas empollas , ou bexigas , restabelece-las , se ellas diminuirem , pela applicaçaõ de novos emplastros , ou misturando no unguento basilicaõ , com que elles se curaõ , algumas pitadas de cantharidas em pó .	Deve-se conservar com todo o cuidado a evacuação, e a supuração destes vesicatórios, suposto, que eles tenham mordido, e formado boas empolas, ou bexigas, restabelecê-las, se elas diminuírem, pela aplicação de novos emplastros, ou misturando no unguento basilicão, com que eles se curam, algumas pitadas de cantáridas em pó.
Aos sete , aos nove , ou aos onze abate a febre , e a doença entra a diminuir por huma expectoraçaõ , ou sahida abundante de escarros , ou pelo suôr ; facilita-se a primeira pelo uso do lambedor N.º 7. , e ajuda-se a segunda pela bebida de algumas chicaras da infusaõ, ou chá das flores de sabugo .	Aos sete, aos nove, ou aos onze abate a febre, e a doença entra a diminuir por uma expectoração, ou saída abundante de escarros, ou pelo suor; facilita-se a primeira pelo uso do lambedor N.º 7., e ajuda-se a segunda pela bebida de algumas xícaras da infusão, ou chá das flores de sabugo.
5 . A primeira , que quando virem alguma febre maligna com sinaes de cruezas , ou carga de humores no estomago , ( o que poderaõ conhecer pelos amargores da boca , pelo summo fastio , pelos desejos de vomitar , podem misturar remedios purgativos com o meu Bezoartico , dando-o desde a primeira hora da doença ; porque com o Bezoartico se vai rebatendo a qualidade venenosa , & com o purgativo se vaõ lentamente descarregando as cruezas , & humores em que talvez se atea a qualidade venenosa ; & este he o methodo com que tenho curado infinitas febres malignas de muitos annos a esta parte com taõ feliz successo , que faria grande escrupulo se privasse ao mundo desta noticia taõ proveitosa ao bem commum , como decorosa aos creditos da Arte ; & ainda que este meu estylo de curar excitou em algumas pessoas tanto furor contra mim , ( 3 . ) que até nas falas mais sagradas retumbaõ ainda hoje eccos injuriosos contra o meu credito , nem por isso deixo de conhecer que ha muitos Medicos doutos , a quem parece bem este methodo de curar ; mas saõ affeiçoados à verdade taõ de secreto , raras vezes se atrevem a praticalla , por se naõ fazerem objectos de tantos tiros , quantos contra mim se assestaõ ; concedem-me que tenho razaõ , & encolhem os hombros ; & se algum dia fazem o mesmo , ( por lhes parecer bem o que me vem obrar ) tambem os alcança algum açoute da maledicencia .	5. A primeira, que quando virem alguma febre maligna com sinais de cruezas, ou carga de humores no estômago, (o que poderão conhecer pelos amargores da boca, pelo sumo fastio, pelos desejos de vomitar, podem misturar remédios purgativos com o meu Bezoártico, dando-o desde a primeira hora da doença; porque com o Bezoártico se vai rebatendo a qualidade venenosa, e com o purgativo se vão lentamente descarregando as cruezas, e humores em que talvez se ateia a qualidade venenosa; e este é o método com que tenho curado infinitas febres malignas de muitos anos a esta parte com tão feliz sucesso, que faria grande escrúpulo se privasse ao mundo desta notícia tão proveitosa ao bem comum, como decorosa aos créditos da Arte; e ainda que este meu estilo de curar excitou em algumas pessoas tanto furor contra mim, (3. ) que até nas falas mais sagradas retumbam ainda hoje ecos injuriosos contra o meu crédito, nem por isso deixo de conhecer que há muitos Médicos doutos, a quem parece bem este método de curar; mas são afeiçoados à verdade tão de secreto, raras vezes se atrevem a praticá-la, por se não fazerem objetos de tantos tiros, quantos contra mim se assestam; concedem-me que tenho razão, e encolhem os ombros; e se algum dia fazem o mesmo, (por lhes parecer bem o que me vem obrar) também os alcança algum açoite da maledicência.
